t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
23,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,839,0.3,0,0,0.4,99.2,0,0,0,0,2478,0,359,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2452,26495,-nan,0,91762,0.0,0,0
24,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,871,0.6,0,0,0.5,98.9,0,0,0,0,2534,0,411,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2515,26234,-nan,0,107305,0.0,0,0
25,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,869,0.3,0,0,0.4,99.3,0,0,0,0,2505,0,397,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2512,26588,-nan,0,93795,0.0,0,0
26,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,891,0.3,0,0,0.6,99.1,0,0,0,0,2517,0,357,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2563,26489,-nan,0,95328,0.0,0,0
27,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,766,0.6,0,0,0.4,99.0,0,0,0,0,2409,0,374,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2356,23345,-nan,0,93415,0.0,0,0
28,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,803,0.4,0,0,0.4,99.2,0,0,0,0,2422,0,386,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2429,23886,-nan,0,94979,0.0,0,0
29,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,879,0.7,0,0,0.6,98.7,0,0,0,0,2625,0,409,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2632,25569,-nan,0,111091,0.0,0,0
30,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,796,1.0,0,0,1.3,97.7,0,0,0,0,2466,0,389,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2492,25718,-nan,0,104873,0.0,0,0
31,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,732,0.3,0,0,0.5,99.2,0,0,0,0,2279,0,337,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2240,22685,-nan,0,103621,0.0,0,0
32,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,786,0.5,0,0,0.5,99.0,0,0,0,0,2284,0,334,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2299,22333,-nan,0,102161,0.0,0,0
33,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,784,1.5,0,0,1.7,96.8,0,0,0,0,2449,0,384,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2436,22053,-nan,0,108149,0.0,0,0
34,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,796,0.5,0,0,1.6,97.9,0,0,0,0,2344,0,411,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2389,24859,-nan,0,112587,0.0,0,0
35,5906883844358082901,0,0,0,0,0,0,0,0,0,0,0,707,0.8,0,0,1.0,98.3,0,0,0,0,2332,0,374,0,0,0.0,0,0,0.0,0,-nan,0.0,0,2335,22829,-nan,0,117442,0.0,0,0
