TPC-C loaded - consumed space in GiB = 0.227018
Warehouse pages = 1
Error opening counter cycle
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 28  | 2429       | 84.1086- | 24.8452- | 0        | 3.2      | 0.2      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 94979    |
| 29  | 2632       | 84.4604- | 25.0356- | 0        | 3.4      | 0.2      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 111091   |
| 30  | 2492       | 84.3900- | 24.2092- | 0        | 3.4      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 104873   |
| 31  | 2240       | 84.9553- | 24.6298- | 0        | 3.1      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 103621   |
| 32  | 2299       | 85.4719- | 25.4781- | 0        | 3.2      | 0.2      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 102161   |
| 33  | 2436       | 84.2364- | 24.3478- | 0        | 3.2      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 108149   |
| 34  | 2389       | 82.7961- | 24.9921- | 0        | 3.3      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 112587   |
| 35  | 2335       | 83.9828- | 23.2412- | 0        | 3.2      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 117442   |
| 36  | 2405       | 85.1559- | 26.9884- | 0        | 3.3      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 108455   |
| 37  | 2405       | 83.5758- | 24.4186- | 0        | 3.2      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 70278    |
| 38  | 2360       | 84.9576- | 24.7448- | 0        | 3.2      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 1.0      | 63638    |
