TPC-C loaded - consumed space in GiB = 0.226602
Warehouse pages = 1
Error opening counter cycle
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 29  | 10340      | 86.6247- | 19.9442- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.7      | 1        |
| 30  | 8245       | 87.1437- | 22.5457- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.7      | 2        |
| 31  | 18763      | 86.9743- | 20.3066- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.7      | 1        |
| 32  | 0          | -nan     | -nan     | 0        | 0.0      | 0.0      | -nan     | -nan     | -        | -nan     | -nan     | 4.000000 | 0.0      | 0.0      | 0.7      | 0        |
| 33  | 11677      | 87.7965- | 18.9040- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.7      | 7        |
| 34  | 20050      | 90.3092- | 21.1250- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.8      | 2        |
| 35  | 13208      | 93.7992- | 20.0919- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.8      | 1        |
| 36  | 8433       | 89.3395- | 25.6021- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.8      | 2        |
| 37  | 9276       | 86.8046- | 16.7549- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.8      | 0        |
| 38  | 0          | -nan     | -nan     | 0        | 0.0      | 0.0      | -nan     | -nan     | -        | -nan     | -nan     | 4.000000 | 0.0      | 0.0      | 0.8      | 0        |
| 39  | 6991       | 90.0586- | 20.7009- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.8      | 2        |
| 40  | 17428      | 86.4643- | 21.1117- | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.8      | 1        |
| 41  | 17991      | 90.4507- | 22.3119- | 0        | 0.8      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 2        |
| 42  | 12321      | 90.3903- | 23.4197- | 0        | 1.5      | 0.1      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 1        |
| 43  | 0          | -nan     | -nan     | 0        | 2.6      | 0.0      | -nan     | -nan     | -        | -nan     | -nan     | 4.000000 | 0.0      | 0.0      | 0.9      | 0        |
| 44  | 0          | -nan     | -nan     | 0        | 0.0      | 0.0      | -nan     | -nan     | -        | -nan     | -nan     | 4.000000 | 0.0      | 0.0      | 0.9      | 0        |
| 45  | 8614       | 89.4822- | 22.5080- | 0        | 1.1      | 0.2      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 2        |
| 46  | 9094       | 91.4888- | 24.0140- | 0        | 4.3      | 0.1      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 2        |
| 47  | 3515       | 87.9089- | 26.8013- | 0        | 4.4      | 0.1      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 42       |
| 48  | 3319       | 86.9840- | 25.2140- | 0        | 4.4      | 0.2      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 51       |
| 49  | 3507       | 88.0809- | 25.2398- | 0        | 4.5      | 0.2      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 52       |
| 50  | 2904       | 88.1887- | 27.8867- | 0        | 4.0      | 0.2      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 54       |
| 51  | 3130       | 86.8370- | 24.5055- | 0        | 4.3      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 57       |
| 52  | 3408       | 87.8521- | 25.5407- | 0        | 4.5      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 56       |
| 53  | 3186       | 86.6290- | 26.0788- | 0        | 4.3      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 56       |
| 54  | 3090       | 87.4757- | 25.8992- | 0        | 4.3      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 56       |
| 55  | 2957       | 85.0524- | 24.2765- | 0        | 3.8      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 55       |
| 56  | 3151       | 86.9882- | 25.0475- | 0        | 4.3      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 57       |
| 57  | 3181       | 86.4193- | 25.1705- | 0        | 4.4      | 0.4      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 311      |
| 58  | 3201       | 87.4726- | 25.4888- | 0        | 4.4      | 0.4      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 747      |
| 59  | 3068       | 86.5058- | 25.9652- | 0        | 4.2      | 0.3      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 4.000000 | 0.0      | 0.0      | 0.9      | 57       |
142320,143630,145295,146364,
TPC-C = 577609
CH = 0
