Loading TPC-C
TPC-C loaded - consumed space in GiB = 0.226795
Warehouse pages = 1
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 28  | 1826       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 721215.- | 474593.- | 0.379928 | 734.261- | 708.738- | 2.225675 | 0.0      | 0.0      | 0.3      | 1117960  |
| 29  | 1833       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 713323.- | 487536.- | 0.375786 | 735.945- | 721.346- | 2.320810 | 0.0      | 0.0      | 0.3      | 1166497  |
| 30  | 1706       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 773359.- | 537884.- | 0.374025 | 973.278- | 761.100- | 2.380277 | 0.0      | 0.0      | 0.3      | 1200840  |
| 31  | 1801       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 767318.- | 501026.- | 0.384067 | 758.678- | 808.161- | 2.290902 | 0.0      | 0.0      | 0.3      | 1138234  |
| 32  | 1792       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 743833.- | 521777.- | 0.395841 | 856.709- | 790.236- | 2.306796 | 0.0      | 0.0      | 0.3      | 1133331  |
| 33  | 1821       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 732235.- | 499603.- | 0.378957 | 770.934- | 680.928- | 2.346635 | 0.0      | 0.0      | 0.3      | 1187667  |
| 34  | 1914       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 709734.- | 481579.- | 0.388595 | 754.638- | 673.944- | 2.316545 | 0.0      | 0.0      | 0.3      | 1151481  |
| 35  | 1666       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 722334.- | 492049.- | 0.335326 | 779.756- | 753.136- | 2.389373 | 0.0      | 0.0      | 0.3      | 1277433  |
| 36  | 1706       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 747189.- | 530875.- | 0.370551 | 883.998- | 722.570- | 2.389538 | 0.0      | 0.0      | 0.3      | 1218296  |
| 37  | 1481       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 778191.- | 549693.- | 0.349589 | 816.088- | 890.833- | 2.275899 | 0.0      | 0.0      | 0.3      | 1176388  |
| 38  | 1513       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 731236.- | 569112.- | 0.352294 | 847.457- | 806.395- | 2.387896 | 0.0      | 0.0      | 0.3      | 1228101  |
| 39  | 1643       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 743222.- | 580943.- | 0.389741 | 806.351- | 784.439- | 2.387435 | 0.0      | 0.0      | 0.3      | 1177567  |
| 40  | 1581       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 740748.- | 555749.- | 0.374183 | 789.139- | 783.067- | 2.292059 | 0.0      | 0.0      | 0.3      | 1139562  |
| 41  | 1496       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 726955.- | 601353.- | 0.372351 | 1039.61- | 841.493- | 2.359979 | 0.0      | 0.0      | 0.3      | 1156192  |
| 42  | 1676       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 736315.- | 548105.- | 0.378542 | 794.193- | 823.458- | 2.367900 | 0.0      | 0.0      | 0.3      | 1172189  |
| 43  | 1492       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 754079.- | 612099.- | 0.377519 | 1023.63- | 754.380- | 2.362915 | 0.0      | 0.0      | 0.3      | 1157422  |
| 44  | 1605       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 729169.- | 571261.- | 0.365708 | 842.888- | 758.673- | 2.451256 | 0.0      | 0.0      | 0.3      | 1266459  |
| 45  | 1570       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 781027.- | 578830.- | 0.370617 | 765.363- | 757.600- | 2.391588 | 0.0      | 0.0      | 0.3      | 1215552  |
| 46  | 1662       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 736031.- | 529238.- | 0.370848 | 930.440- | 857.025- | 2.316951 | 0.0      | 0.0      | 0.3      | 1145616  |
| 47  | 1751       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 768394.- | 534284.- | 0.389199 | 868.391- | 776.926- | 2.347710 | 0.0      | 0.0      | 0.3      | 1142106  |
| 48  | 1716       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 749726.- | 516642.- | 0.375410 | 839.232- | 749.701- | 2.306036 | 0.0      | 0.0      | 0.3      | 1181190  |
| 49  | 1821       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 747588.- | 496227.- | 0.382460 | 713.277- | 693.859- | 2.307261 | 0.0      | 0.0      | 0.3      | 1151374  |
| 50  | 1594       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 756797.- | 582352.- | 0.379404 | 1119.83- | 751.242- | 2.390984 | 0.0      | 0.0      | 0.3      | 1181174  |
| 51  | 1823       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 724240.- | 474105.- | 0.365698 | 719.758- | 760.235- | 2.309285 | 0.0      | 0.0      | 0.3      | 1193872  |
| 52  | 1943       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 699801.- | 466492.- | 0.393998 | 762.648- | 754.001- | 2.243137 | 0.0      | 0.0      | 0.3      | 1083251  |
| 53  | 1748       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 755685.- | 505816.- | 0.381131 | 775.977- | 840.411- | 2.265068 | 0.0      | 0.0      | 0.3      | 1134968  |
| 54  | 1812       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 742133.- | 486255.- | 0.375366 | 716.549- | 699.982- | 2.292061 | 0.0      | 0.0      | 0.3      | 1162966  |
| 55  | 1839       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 721992.- | 505042.- | 0.381920 | 816.228- | 755.736- | 2.374818 | 0.0      | 0.0      | 0.3      | 1175004  |
| 56  | 1848       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 718572.- | 481145.- | 0.371539 | 735.176- | 809.679- | 2.338676 | 0.0      | 0.0      | 0.3      | 1178805  |
| 57  | 1754       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 736707.- | 499849.- | 0.378741 | 815.272- | 820.613- | 2.249128 | 0.0      | 0.0      | 0.3      | 1125417  |
| 58  | 1439       | 0.000000 | 0.000000 | 0        | 0.0      | 0.0      | 787398.- | 534408.- | 0.358034 | 897.332- | 1002.33- | 2.095926 | 0.0      | 0.0      | 0.3      | 1038408  |
101037,
TPC-C = 101037
CH = 0

consumed space in GiB = 0.345054
