t,c_hash,key,GHz,CPU,IPC,br-miss,L1-miss,instr,cycle-kernel,task,LLC-miss,cycle
0,12887458230040279342,pp_3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,12887458230040279342,pp_2,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,12887458230040279342,pp_1,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,12887458230040279342,pp_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,12887458230040279342,group_committer,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,12887458230040279342,worker_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
6,12887458230040279342,group_committer,2.2,0.8,3.0,505560.0,6726521.6,5627998327.8,297227098.0,856934034.0,282778.8,1867542653.7
6,12887458230040279342,worker_0,2.3,0.4,1.5,1143630.0,1312952.0,1301058359.0,3311913.0,381219344.0,1229733.0,873773088.0
7,12887458230040279342,pp_3,2.3,1.0,1.7,36971.0,52740.0,4007387118.0,2932882.0,1024466276.0,2914.0,2407378493.0
7,12887458230040279342,pp_2,2.3,1.0,1.7,23517.0,64448.0,4007192172.0,2912766.0,1024485217.0,2768.0,2407431458.0
7,12887458230040279342,pp_1,2.3,1.0,1.7,23817.0,52204.0,4009889555.0,2888382.0,1024492307.0,2646.0,2406973768.0
7,12887458230040279342,pp_0,2.3,1.0,1.7,24137.0,45659.0,4009685963.0,2996618.0,1024465488.0,3128.0,2406875437.0
7,12887458230040279342,group_committer,2.1,0.8,3.0,521125.2,6617345.7,5485425287.0,291915699.8,869258001.0,340913.7,1825939429.9
7,12887458230040279342,worker_0,2.2,0.4,1.5,1161655.3,1349926.3,1314924477.9,3971719.3,385906358.0,1427645.7,853218064.3
8,12887458230040279342,pp_3,2.4,1.0,1.7,37364.0,50180.0,4091512588.0,2806521.0,1026925433.0,2624.0,2457714246.0
8,12887458230040279342,pp_2,2.4,1.0,1.7,23423.0,58836.0,4092440838.0,2579352.0,1026934074.0,2822.0,2457742326.0
8,12887458230040279342,pp_1,2.4,1.0,1.7,23540.0,46733.0,4086452029.0,2579297.0,1026934171.0,2431.0,2454576758.0
