Loading TPC-C
TPC-C loaded - consumed space in GiB = 1.01213
Warehouse pages = 1
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 28  | 58346      | 96.2362- | 11.7093- | 0        | 0.0      | 0.0      | 196432.- | 123518.- | 7.114232 | 1078.03- | 1002.38- | 7.925814 | 0.1      | 0.1      | 3.6      | 13       |
| 29  | 68444      | 96.2275- | 11.8682- | 0        | 0.0      | 0.0      | 209330.- | 116558.- | 7.654898 | 1029.88- | 940.347- | 8.162252 | 0.1      | 0.1      | 3.7      | 7        |
| 30  | 18582      | 95.7539- | 11.5942- | 0        | 0.0      | 0.0      | 2428993- | 522772.- | 7.973938 | 1273.83- | 1273.27- | 9.604543 | 0.0      | 0.1      | 3.7      | 2        |
| 31  | 84428      | 96.2559- | 11.9799- | 0        | 0.0      | 0.0      | 389446.- | 127424.- | 7.956365 | 940.913- | 719.364- | 10.7066- | 0.2      | 0.2      | 3.8      | 6        |
| 32  | 90399      | 95.9424- | 11.8471- | 0        | 0.0      | 0.0      | 362634.- | 127869.- | 7.963209 | 937.183- | 774.278- | 11.4696- | 0.2      | 0.2      | 3.9      | 9        |
| 33  | 97433      | 95.8135- | 11.9201- | 0        | 0.0      | 0.0      | 204904.- | 108848.- | 7.948402 | 982.515- | 791.404- | 10.5326- | 0.2      | 0.2      | 4.0      | 23       |
| 34  | 90836      | 96.2283- | 11.8832- | 0        | 0.0      | 0.0      | 209552.- | 114398.- | 7.947662 | 1011.53- | 815.646- | 10.3070- | 0.2      | 0.2      | 4.1      | 15       |
| 35  | 46489      | 96.1238- | 12.3510- | 0        | 0.0      | 0.0      | 635971.- | 218563.- | 7.982846 | 907.337- | 724.715- | 10.0466- | 0.1      | 0.1      | 4.2      | 5        |
| 36  | 87418      | 95.7503- | 11.7435- | 0        | 0.0      | 0.0      | 205792.- | 120726.- | 7.910609 | 1098.42- | 875.796- | 10.5124- | 0.2      | 0.2      | 4.3      | 30       |
| 37  | 90601      | 95.9040- | 11.8530- | 0        | 0.0      | 0.0      | 205855.- | 114676.- | 7.942586 | 1029.61- | 831.015- | 10.3003- | 0.2      | 0.2      | 4.4      | 29       |
| 38  | 90123      | 95.8700- | 11.8187- | 0        | 0.0      | 0.0      | 206704.- | 120088.- | 7.938933 | 1035.48- | 812.007- | 10.7566- | 0.2      | 0.2      | 4.5      | 20       |
| 39  | 76525      | 96.0052- | 11.8832- | 0        | 0.0      | 0.0      | 259715.- | 129787.- | 7.851159 | 1007.84- | 861.303- | 9.960438 | 0.2      | 0.1      | 4.6      | 11       |
| 40  | 58498      | 96.0049- | 11.7224- | 0        | 0.0      | 0.0      | 426946.- | 174571.- | 7.831131 | 1084.92- | 954.164- | 10.2641- | 0.1      | 0.2      | 4.7      | 13       |
| 41  | 60655      | 95.8206- | 11.8425- | 0        | 0.0      | 0.0      | 219435.- | 135009.- | 7.297829 | 1112.42- | 1029.41- | 8.775553 | 0.1      | 0.1      | 4.7      | 8        |
| 42  | 48698      | 95.5460- | 11.6669- | 0        | 0.0      | 0.0      | 216832.- | 136328.- | 6.426601 | 1126.13- | 1085.26- | 7.981908 | 0.1      | 0.1      | 4.8      | 13       |
| 43  | 63795      | 95.8053- | 12.1329- | 0        | 0.0      | 0.0      | 191715.- | 119774.- | 7.620576 | 1060.52- | 905.006- | 7.827676 | 0.1      | 0.1      | 4.9      | 22       |
| 44  | 60477      | 95.6413- | 11.9784- | 0        | 0.0      | 0.0      | 203446.- | 125850.- | 7.187503 | 1085.32- | 1018.78- | 8.281388 | 0.1      | 0.1      | 5.0      | 15       |
| 45  | 65054      | 95.4837- | 11.7505- | 0        | 0.0      | 0.0      | 198628.- | 121419.- | 7.658724 | 1047.05- | 948.858- | 8.094011 | 0.1      | 0.1      | 5.0      | 20       |
| 46  | 78139      | 95.6295- | 12.0313- | 0        | 0.0      | 0.0      | 206849.- | 116484.- | 7.913096 | 1033.05- | 842.384- | 9.037900 | 0.2      | 0.2      | 5.1      | 21       |
| 47  | 62704      | 96.7785- | 11.8198- | 0        | 0.0      | 0.0      | 531283.- | 172047.- | 7.961235 | 1141.90- | 929.498- | 10.6685- | 0.1      | 0.1      | 5.2      | 7        |
| 48  | 55880      | 95.9269- | 11.8459- | 0        | 0.0      | 0.0      | 759280.- | 232381.- | 7.974540 | 1324.18- | 1036.05- | 12.8712- | 0.1      | 0.1      | 5.3      | 9        |
| 49  | 108436     | 95.7348- | 11.8607- | 0        | 0.0      | 0.0      | 181437.- | 93034.9- | 7.967210 | 861.162- | 702.058- | 10.0122- | 0.2      | 0.2      | 5.4      | 28       |
| 50  | 77850      | 95.8831- | 11.9911- | 0        | 0.0      | 0.0      | 531955.- | 126194.- | 7.970758 | 616.551- | 540.382- | 9.734359 | 0.2      | 0.1      | 5.5      | 10       |
| 51  | 50107      | 95.6333- | 11.8610- | 0        | 0.0      | 0.0      | 968931.- | 249197.- | 7.962720 | 1228.56- | 977.687- | 12.3886- | 0.1      | 0.1      | 5.6      | 3        |
| 52  | 69169      | 95.3852- | 11.7100- | 0        | 0.0      | 0.0      | 722482.- | 185287.- | 7.967175 | 1032.52- | 887.452- | 12.7213- | 0.1      | 0.1      | 5.6      | 4        |
| 53  | 95966      | 95.8183- | 11.6310- | 0        | 0.0      | 0.0      | 209578.- | 114849.- | 7.953392 | 1001.98- | 807.822- | 10.9396- | 0.2      | 0.2      | 5.8      | 20       |
| 54  | 74320      | 95.6431- | 11.9869- | 0        | 0.0      | 0.0      | 199336.- | 121354.- | 7.693569 | 1073.52- | 932.990- | 9.205305 | 0.2      | 0.2      | 5.8      | 24       |
| 55  | 72353      | 95.7209- | 11.8033- | 0        | 0.0      | 0.0      | 216004.- | 120731.- | 7.859310 | 1077.39- | 979.573- | 8.737043 | 0.2      | 0.2      | 5.9      | 23       |
| 56  | 75237      | 95.7268- | 11.8478- | 0        | 0.0      | 0.0      | 211118.- | 121274.- | 7.648797 | 1076.28- | 971.402- | 9.342641 | 0.2      | 0.2      | 6.0      | 21       |
| 57  | 52230      | 95.3934- | 12.0247- | 0        | 0.0      | 0.0      | 205587.- | 134781.- | 6.542839 | 1139.95- | 1092.31- | 8.441445 | 0.1      | 0.1      | 6.1      | 17       |
| 58  | 61019      | 95.6456- | 11.9698- | 0        | 0.0      | 0.0      | 195140.- | 121065.- | 7.279997 | 1087.91- | 944.548- | 7.927113 | 0.1      | 0.1      | 6.2      | 21       |
