t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
22,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,14232,0.0,0,0,0.3,99.7,0,0,0,0,104088,0,4153,0,0,0.0,0,0,0.2,0,-nan,0.2,0,105193,1138585,-nan,0,21,0.0,0,0
23,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,12575,0.0,0,0,0.3,99.7,0,0,0,0,97347,0,3896,0,0,0.0,0,0,0.2,0,-nan,0.2,0,91768,979485,-nan,0,29,0.0,0,0
24,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,9699,0.0,0,0,0.3,99.7,0,0,0,0,71832,0,3094,0,0,0.0,0,0,0.2,0,-nan,0.2,0,73273,793316,-nan,0,22,0.0,0,0
25,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,8054,0.0,0,0,0.2,99.8,0,0,0,0,60693,0,2529,0,0,0.0,0,0,0.1,0,-nan,0.1,0,60523,658738,-nan,0,18,0.0,0,0
26,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,5833,0.0,0,0,0.1,99.8,0,0,0,0,38017,0,1982,0,0,0.0,0,0,0.1,0,-nan,0.1,0,43581,465454,-nan,0,10,0.0,0,0
27,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,6931,0.0,0,0,0.4,99.6,0,0,0,0,54817,0,2262,0,0,0.0,0,0,0.1,0,-nan,0.1,0,51608,566277,-nan,0,18,0.0,0,0
28,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,7738,0.0,0,0,0.2,99.8,0,0,0,0,42805,0,2196,0,0,0.0,0,0,0.1,0,-nan,0.1,0,58346,625418,-nan,0,13,0.0,0,0
29,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,9217,0.0,0,0,0.2,99.8,0,0,0,0,55521,0,2582,0,0,0.0,0,0,0.1,0,-nan,0.1,0,68444,698906,-nan,0,7,0.0,0,0
30,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,2437,0.0,0,0,0.1,99.9,0,0,0,0,31717,0,789,0,0,0.0,0,0,0.1,0,-nan,0.0,0,18582,229512,-nan,0,2,0.0,0,0
31,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,11491,0.0,0,0,0.2,99.8,0,0,0,0,74970,0,3161,0,0,0.0,0,0,0.2,0,-nan,0.2,0,84428,895604,-nan,0,6,0.0,0,0
32,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,12149,0.0,0,0,0.2,99.8,0,0,0,0,116911,0,3668,0,0,0.0,0,0,0.2,0,-nan,0.2,0,90399,972221,-nan,0,9,0.0,0,0
33,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,13186,0.0,0,0,0.3,99.7,0,0,0,0,94959,0,4079,0,0,0.0,0,0,0.2,0,-nan,0.2,0,97433,1055365,-nan,0,23,0.0,0,0
34,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,12250,0.0,0,0,0.2,99.8,0,0,0,0,65568,0,3426,0,0,0.0,0,0,0.2,0,-nan,0.2,0,90836,973348,-nan,0,15,0.0,0,0
35,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,6551,0.0,0,0,0.1,99.9,0,0,0,0,71751,0,1802,0,0,0.0,0,0,0.1,0,-nan,0.1,0,46489,500099,-nan,0,5,0.0,0,0
36,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,11632,0.0,0,0,0.3,99.7,0,0,0,0,90625,0,3715,0,0,0.0,0,0,0.2,0,-nan,0.2,0,87418,938890,-nan,0,30,0.0,0,0
37,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,12183,0.0,0,0,0.2,99.8,0,0,0,0,89297,0,3711,0,0,0.0,0,0,0.2,0,-nan,0.2,0,90601,972670,-nan,0,29,0.0,0,0
38,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,12079,0.0,0,0,0.2,99.8,0,0,0,0,89974,0,3722,0,0,0.0,0,0,0.2,0,-nan,0.2,0,90123,956464,-nan,0,20,0.0,0,0
39,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,10320,0.0,0,0,0.2,99.8,0,0,0,0,45410,0,3057,0,0,0.0,0,0,0.1,0,-nan,0.2,0,76525,789038,-nan,0,11,0.0,0,0
40,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,7768,0.0,0,0,0.2,99.8,0,0,0,0,90216,0,2337,0,0,0.0,0,0,0.2,0,-nan,0.1,0,58498,659607,-nan,0,13,0.0,0,0
41,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,8148,0.0,0,0,0.2,99.8,0,0,0,0,29478,0,2535,0,0,0.0,0,0,0.1,0,-nan,0.1,0,60655,636834,-nan,0,8,0.0,0,0
42,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,6432,0.0,0,0,0.4,99.6,0,0,0,0,77986,0,2169,0,0,0.0,0,0,0.1,0,-nan,0.1,0,48698,544735,-nan,0,13,0.0,0,0
43,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,8809,0.0,0,0,0.2,99.8,0,0,0,0,66444,0,2676,0,0,0.0,0,0,0.1,0,-nan,0.1,0,63795,694135,-nan,0,22,0.0,0,0
44,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,8230,0.0,0,0,0.2,99.8,0,0,0,0,60716,0,2636,0,0,0.0,0,0,0.1,0,-nan,0.1,0,60477,652534,-nan,0,15,0.0,0,0
45,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,8662,0.0,0,0,0.2,99.8,0,0,0,0,55581,0,2938,0,0,0.0,0,0,0.1,0,-nan,0.1,0,65054,686684,-nan,0,20,0.0,0,0
46,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,10687,0.0,0,0,0.2,99.8,0,0,0,0,87182,0,3415,0,0,0.0,0,0,0.2,0,-nan,0.2,0,78139,833414,-nan,0,21,0.0,0,0
47,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,8405,0.0,0,0,0.1,99.9,0,0,0,0,30512,0,2020,0,0,0.0,0,0,0.1,0,-nan,0.1,0,62704,646249,-nan,0,7,0.0,0,0
48,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,7509,0.0,0,0,0.2,99.8,0,0,0,0,86728,0,2276,0,0,0.0,0,0,0.1,0,-nan,0.1,0,55880,622109,-nan,0,9,0.0,0,0
49,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,14592,0.0,0,0,0.3,99.7,0,0,0,0,106352,0,4625,0,0,0.0,0,0,0.2,0,-nan,0.2,0,108436,1164287,-nan,0,28,0.0,0,0
50,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,10607,0.0,0,0,0.2,99.8,0,0,0,0,49590,0,3205,0,0,0.0,0,0,0.1,0,-nan,0.2,0,77850,821744,-nan,0,10,0.0,0,0
51,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,6743,0.0,0,0,0.1,99.9,0,0,0,0,51543,0,2188,0,0,0.0,0,0,0.1,0,-nan,0.1,0,50107,551630,-nan,0,3,0.0,0,0
52,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,9174,0.0,0,0,0.2,99.8,0,0,0,0,69862,0,3192,0,0,0.0,0,0,0.1,0,-nan,0.1,0,69169,726318,-nan,0,4,0.0,0,0
53,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,12631,0.0,0,0,0.3,99.7,0,0,0,0,121360,0,4013,0,0,0.0,0,0,0.2,0,-nan,0.2,0,95966,1034555,-nan,0,20,0.0,0,0
54,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,10122,0.0,0,0,0.2,99.8,0,0,0,0,76969,0,3238,0,0,0.0,0,0,0.2,0,-nan,0.2,0,74320,793310,-nan,0,24,0.0,0,0
55,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,9683,0.0,0,0,0.2,99.8,0,0,0,0,73318,0,3096,0,0,0.0,0,0,0.2,0,-nan,0.2,0,72353,790747,-nan,0,23,0.0,0,0
56,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,10112,0.0,0,0,0.2,99.8,0,0,0,0,75371,0,3215,0,0,0.0,0,0,0.2,0,-nan,0.2,0,75237,814485,-nan,0,21,0.0,0,0
57,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,7139,0.0,0,0,0.2,99.8,0,0,0,0,53194,0,2406,0,0,0.0,0,0,0.1,0,-nan,0.1,0,52230,573199,-nan,0,17,0.0,0,0
58,5737676506079966301,0,0,0,0,0,0,0,0,0,0,0,8297,0.0,0,0,0.3,99.7,0,0,0,0,58126,0,2657,0,0,0.0,0,0,0.1,0,-nan,0.1,0,61019,658847,-nan,0,21,0.0,0,0
