t,c_hash,key,GHz,CPU,IPC,br-miss,L1-miss,instr,cycle-kernel,task,LLC-miss,cycle
0,14632805865187260016,pp_3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,pp_2,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,pp_1,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,pp_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,group_committer,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,worker_7,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,worker_6,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,worker_5,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,worker_4,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,worker_3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,worker_2,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,worker_1,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,14632805865187260016,worker_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,pp_3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,pp_2,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,pp_1,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,pp_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,group_committer,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,worker_7,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,worker_6,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,worker_5,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,worker_4,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,worker_3,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,worker_2,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,worker_1,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
0,5737676506079966301,worker_0,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2,5737676506079966301,worker_7,1.3,1.0,1.8,6543052.0,11112175.4,2239997809.7,22297803.2,995198688.0,8959517.8,1255205279.9
2,5737676506079966301,worker_6,1.2,1.0,1.8,6362615.0,11988843.3,2228987184.0,31251872.2,994559204.0,9311096.2,1212540224.6
2,5737676506079966301,worker_5,1.3,1.0,1.6,6189425.5,10820903.3,2035649151.6,23015713.9,992504186.0,8241303.2,1256206836.3
2,5737676506079966301,worker_4,1.2,1.0,1.8,6472953.8,11262075.7,2196272629.1,30529006.7,995817278.0,9091979.3,1226981739.3
2,5737676506079966301,worker_3,1.2,1.0,1.9,6554246.0,11600140.4,2256161785.6,37801820.3,994900063.0,9337150.9,1211261485.7
2,5737676506079966301,worker_2,1.2,1.0,1.6,5887670.1,10776637.8,1898561186.3,45713643.7,995995058.0,8095344.1,1209207143.0
2,5737676506079966301,worker_1,1.2,1.0,1.7,6269879.1,11241101.8,2108641903.9,29953762.6,994033623.0,8598105.6,1240182053.1
2,5737676506079966301,worker_0,1.2,1.0,1.7,6379084.3,11009507.9,2163643857.2,21989805.4,998144595.0,8871409.2,1246415988.5
3,5737676506079966301,pp_3,1.3,1.0,1.8,52214.0,188558.0,2340675476.0,3294927.0,1014981795.0,10579.0,1316579832.0
3,5737676506079966301,pp_2,1.3,1.0,1.7,66259.0,185897.0,2248906564.0,3436007.0,1014987034.0,15994.0,1316591201.0
3,5737676506079966301,pp_1,1.3,1.0,1.7,44590.0,177282.0,2254454688.0,3305143.0,1014984031.0,11781.0,1316628116.0
3,5737676506079966301,pp_0,1.3,1.0,1.7,44576.0,177193.0,2259797856.0,3336704.0,1015009184.0,10565.0,1316662654.0
3,5737676506079966301,group_committer,1.2,0.4,1.4,619825.9,7368443.6,637027694.4,454459161.0,382546078.0,7182968.8,456909610.6
3,5737676506079966301,worker_7,1.2,1.0,2.0,6933628.2,11313830.4,2462364316.5,24794593.4,1004385350.0,9732729.0,1214783879.7
3,5737676506079966301,worker_6,1.2,1.0,2.0,6662376.7,10864008.9,2353767118.7,17055970.0,1003687979.0,9263351.6,1196794021.9
3,5737676506079966301,worker_5,1.2,1.0,1.6,5909985.7,10189360.8,1988032354.7,13428716.0,1006424620.0,7572081.5,1220224680.6
3,5737676506079966301,worker_4,1.2,1.0,1.9,6896458.7,11171613.1,2366600544.4,24064748.4,1004689924.0,9376953.8,1254317822.4
3,5737676506079966301,worker_3,1.2,1.0,1.6,5957918.6,10206566.6,2003963879.5,14383058.6,1003504672.0,7720682.5,1215198264.4
3,5737676506079966301,worker_2,1.2,1.0,1.6,5743140.2,10045304.7,1865715601.7,21837119.3,1003464115.0,7296310.4,1199702016.4
3,5737676506079966301,worker_1,1.2,1.0,1.5,5609727.3,10139886.2,1832600828.2,14386758.7,1004581844.0,6719792.6,1228333178.6
