t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
0,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,5697,35.0,0,0,0.0,65.0,0,0,0,0,1,0,1,0,0,0.0,0,0,12.8,0,-nan,12.9,0,83211,856027,-nan,0,53,0.0,0,0
1,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,32833,12.0,0,0,0.4,87.6,0,0,0,0,113379,0,11339,0,0,0.0,0,0,0.8,0,-nan,1.0,0,482404,4421598,-nan,0,2,0.0,0,0
2,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,4933,21.4,0,0,0.2,78.4,0,0,0,0,240068,0,2036,0,0,0.0,0,0,0.4,0,-nan,0.2,0,78251,1727421,-nan,0,1,0.0,0,0
3,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,22974,12.4,0,0,0.3,87.3,0,0,0,0,222750,0,8862,0,0,0.0,0,0,0.7,0,-nan,0.7,0,343996,3409104,-nan,0,1,0.0,0,0
4,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,5356,19.4,0,0,0.2,80.5,0,0,0,0,286786,0,1912,0,0,0.0,0,0,0.1,0,-nan,0.2,0,75403,1162484,-nan,0,1,0.0,0,0
5,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,25515,18.7,0,0,0.3,81.0,0,0,0,0,187067,0,9519,0,0,0.0,0,0,0.8,0,-nan,0.8,0,377766,4131024,-nan,0,1,0.0,0,0
6,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,6863,-nan,0,0,-nan,-nan,0,0,0,0,0,0,2618,0,0,0.0,0,0,0.3,0,-nan,0.2,0,104881,44121,-nan,0,0,0.0,0,0
7,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,21749,19.6,0,0,0.2,80.1,0,0,0,0,495665,0,8907,0,0,0.0,0,0,0.5,0,-nan,0.7,0,349042,4799235,-nan,0,2,0.0,0,0
8,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,9716,-nan,0,0,-nan,-nan,0,0,0,0,0,0,3666,0,0,0.0,0,0,0.5,0,-nan,0.3,0,142591,373999,-nan,0,0,0.0,0,0
9,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,22263,18.6,0,0,0.2,81.2,0,0,0,0,493300,0,8452,0,0,0.0,0,0,0.5,0,-nan,0.7,0,339048,4825152,-nan,0,2,0.0,0,0
10,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,9991,-nan,0,0,-nan,-nan,0,0,0,0,0,0,3655,0,0,0.0,0,0,0.5,0,-nan,0.3,0,141715,830562,-nan,0,0,0.0,0,0
11,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,18479,18.3,0,0,0.2,81.5,0,0,0,0,297369,0,7609,0,0,0.0,0,0,0.4,0,-nan,0.6,0,301332,3065974,-nan,0,1,0.0,0,0
12,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,11678,15.6,0,0,0.3,84.1,0,0,0,0,183216,0,4559,0,0,0.0,0,0,0.8,0,-nan,0.4,0,178903,2078621,-nan,0,1,0.0,0,0
13,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,14134,21.8,0,0,0.1,78.0,0,0,0,0,310423,0,5813,0,0,0.0,0,0,0.3,0,-nan,0.5,0,228849,3254401,-nan,0,1,0.0,0,0
14,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,15494,12.0,0,0,0.4,87.5,0,0,0,0,163948,0,6222,0,0,0.0,0,0,0.7,0,-nan,0.5,0,242331,2017913,-nan,0,1,0.0,0,0
15,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,11057,16.8,0,0,0.1,83.0,0,0,0,0,211348,0,4767,0,0,0.0,0,0,0.3,0,-nan,0.4,0,183380,2904013,-nan,0,1,0.0,0,0
16,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,18702,17.0,0,0,0.4,82.5,0,0,0,0,265167,0,7564,0,0,0.0,0,0,0.8,0,-nan,0.6,0,291493,2335201,-nan,0,1,0.0,0,0
17,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,7702,19.6,0,0,0.1,80.3,0,0,0,0,318036,0,3043,0,0,0.0,0,0,0.3,0,-nan,0.3,0,125352,2190508,-nan,0,1,0.0,0,0
18,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,23486,17.8,0,0,0.4,81.8,0,0,0,0,157480,0,8775,0,0,0.0,0,0,0.8,0,-nan,0.8,0,356906,2876107,-nan,0,1,0.0,0,0
19,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,1602,20.7,0,0,0.1,79.2,0,0,0,0,309224,0,783,0,0,0.0,0,0,0.2,0,-nan,0.1,0,31285,1363744,-nan,0,1,0.0,0,0
20,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,27445,13.3,0,0,0.5,86.2,0,0,0,0,155211,0,11228,0,0,0.0,0,0,0.7,0,-nan,0.9,0,437868,3996754,-nan,0,1,0.0,0,0
21,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,4696,19.5,0,0,0.2,80.4,0,0,0,0,290010,0,1820,0,0,0.0,0,0,0.3,0,-nan,0.2,0,75241,1746737,-nan,0,1,0.0,0,0
22,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,26029,14.1,0,0,0.4,85.5,0,0,0,0,196905,0,9720,0,0,0.0,0,0,0.8,0,-nan,0.9,0,398929,3412165,-nan,0,1,0.0,0,0
23,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,712,21.7,0,0,0.1,78.1,0,0,0,0,274648,0,293,0,0,0.0,0,0,0.1,0,-nan,0.0,0,12452,1037151,-nan,0,1,0.0,0,0
24,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,29837,17.0,0,0,0.5,82.5,0,0,0,0,199915,0,11576,0,0,0.0,0,0,0.9,0,-nan,1.0,0,465280,4173583,-nan,0,1,0.0,0,0
25,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,3911,19.4,0,0,0.2,80.4,0,0,0,0,286332,0,1647,0,0,0.0,0,0,0.3,0,-nan,0.1,0,66166,1713908,-nan,0,1,0.0,0,0
26,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,25431,14.2,0,0,0.4,85.4,0,0,0,0,190577,0,10031,0,0,0.0,0,0,0.7,0,-nan,0.9,0,400802,3592667,-nan,0,1,0.0,0,0
27,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,1925,16.9,0,0,0.2,83.0,0,0,0,0,301949,0,730,0,0,0.0,0,0,0.1,0,-nan,0.1,0,26919,1117189,-nan,0,1,0.0,0,0
28,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,29213,17.9,0,0,0.4,81.7,0,0,0,0,159781,0,10943,0,0,0.0,0,0,1.0,0,-nan,1.0,0,454098,4445428,-nan,0,1,0.0,0,0
29,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,1044,-nan,0,0,-nan,-nan,0,0,0,0,0,0,270,0,0,0.0,0,0,0.0,0,-nan,0.0,0,11544,0,-nan,0,0,0.0,0,0
30,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,26498,16.7,0,0,0.2,83.1,0,0,0,0,498200,0,10639,0,0,0.0,0,0,0.6,0,-nan,0.9,0,413768,4979728,-nan,0,2,0.0,0,0
31,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,5041,-nan,0,0,-nan,-nan,0,0,0,0,0,0,1851,0,0,0.0,0,0,0.5,0,-nan,0.2,0,72411,194,-nan,0,0,0.0,0,0
32,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,17603,18.7,0,0,0.2,81.1,0,0,0,0,481262,0,7328,0,0,0.0,0,0,0.4,0,-nan,0.6,0,286308,4218707,-nan,0,2,0.0,0,0
33,14719014674475620788,0,0,0,0,0,0,0,0,0,0,0,12113,-nan,0,0,-nan,-nan,0,0,0,0,0,0,4415,0,0,0.0,0,0,0.5,0,-nan,0.4,0,183632,1353050,-nan,0,0,0.0,0,0
