t,c_hash,key,GHz,CPU,IPC
0,8783548576893292120,pp_3,1.0,-0.0,1.0
0,8783548576893292120,pp_1,1.0,-0.0,1.0
0,8783548576893292120,pp_2,1.0,-0.0,1.0
0,8783548576893292120,pp_0,1.0,-0.0,1.0
0,8783548576893292120,group_committer,1.0,-0.0,1.0
0,8783548576893292120,worker_0,1.0,-0.0,1.0
1,8783548576893292120,pp_3,1.0,-0.0,1.0
1,8783548576893292120,pp_1,1.0,-0.0,1.0
1,8783548576893292120,pp_2,1.0,-0.0,1.0
1,8783548576893292120,pp_0,1.0,-0.0,1.0
1,8783548576893292120,group_committer,1.0,-0.0,1.0
1,8783548576893292120,worker_0,1.0,-0.0,1.0
2,8783548576893292120,pp_3,1.0,-0.0,1.0
2,8783548576893292120,pp_1,1.0,-0.0,1.0
2,8783548576893292120,pp_2,1.0,-0.0,1.0
2,8783548576893292120,pp_0,1.0,-0.0,1.0
2,8783548576893292120,group_committer,1.0,-0.0,1.0
2,8783548576893292120,worker_0,1.0,-0.0,1.0
3,8783548576893292120,pp_3,1.0,-0.0,1.0
3,8783548576893292120,pp_1,1.0,-0.0,1.0
3,8783548576893292120,pp_2,1.0,-0.0,1.0
3,8783548576893292120,pp_0,1.0,-0.0,1.0
3,8783548576893292120,group_committer,1.0,-0.0,1.0
3,8783548576893292120,worker_0,1.0,-0.0,1.0
4,8783548576893292120,pp_3,1.0,-0.0,1.0
4,8783548576893292120,pp_1,1.0,-0.0,1.0
4,8783548576893292120,pp_2,1.0,-0.0,1.0
4,8783548576893292120,pp_0,1.0,-0.0,1.0
4,8783548576893292120,group_committer,1.0,-0.0,1.0
4,8783548576893292120,worker_0,1.0,-0.0,1.0
5,8783548576893292120,pp_3,1.0,-0.0,1.0
5,8783548576893292120,pp_1,1.0,-0.0,1.0
5,8783548576893292120,pp_2,1.0,-0.0,1.0
5,8783548576893292120,pp_0,1.0,-0.0,1.0
5,8783548576893292120,group_committer,1.0,-0.0,1.0
5,8783548576893292120,worker_0,1.0,-0.0,1.0
6,8783548576893292120,pp_3,1.0,-0.0,1.0
6,8783548576893292120,pp_1,1.0,-0.0,1.0
6,8783548576893292120,pp_2,1.0,-0.0,1.0
6,8783548576893292120,pp_0,1.0,-0.0,1.0
6,8783548576893292120,group_committer,1.0,-0.0,1.0
6,8783548576893292120,worker_0,1.0,-0.0,1.0
7,8783548576893292120,pp_3,1.0,-0.0,1.0
7,8783548576893292120,pp_1,1.0,-0.0,1.0
7,8783548576893292120,pp_2,1.0,-0.0,1.0
7,8783548576893292120,pp_0,1.0,-0.0,1.0
7,8783548576893292120,group_committer,1.0,-0.0,1.0
7,8783548576893292120,worker_0,1.0,-0.0,1.0
8,8783548576893292120,pp_3,1.0,-0.0,1.0
8,8783548576893292120,pp_1,1.0,-0.0,1.0
8,8783548576893292120,pp_2,1.0,-0.0,1.0
8,8783548576893292120,pp_0,1.0,-0.0,1.0
8,8783548576893292120,group_committer,1.0,-0.0,1.0
8,8783548576893292120,worker_0,1.0,-0.0,1.0
9,8783548576893292120,pp_3,1.0,-0.0,1.0
9,8783548576893292120,pp_1,1.0,-0.0,1.0
9,8783548576893292120,pp_2,1.0,-0.0,1.0
9,8783548576893292120,pp_0,1.0,-0.0,1.0
9,8783548576893292120,group_committer,1.0,-0.0,1.0
9,8783548576893292120,worker_0,1.0,-0.0,1.0
10,8783548576893292120,pp_3,1.0,-0.0,1.0
10,8783548576893292120,pp_1,1.0,-0.0,1.0
10,8783548576893292120,pp_2,1.0,-0.0,1.0
10,8783548576893292120,pp_0,1.0,-0.0,1.0
10,8783548576893292120,group_committer,1.0,-0.0,1.0
10,8783548576893292120,worker_0,1.0,-0.0,1.0
11,8783548576893292120,pp_3,1.0,-0.0,1.0
11,8783548576893292120,pp_1,1.0,-0.0,1.0
11,8783548576893292120,pp_2,1.0,-0.0,1.0
11,8783548576893292120,pp_0,1.0,-0.0,1.0
11,8783548576893292120,group_committer,1.0,-0.0,1.0
11,8783548576893292120,worker_0,1.0,-0.0,1.0
12,8783548576893292120,pp_3,1.0,-0.0,1.0
12,8783548576893292120,pp_1,1.0,-0.0,1.0
12,8783548576893292120,pp_2,1.0,-0.0,1.0
12,8783548576893292120,pp_0,1.0,-0.0,1.0
12,8783548576893292120,group_committer,1.0,-0.0,1.0
12,8783548576893292120,worker_0,1.0,-0.0,1.0
13,8783548576893292120,pp_3,1.0,-0.0,1.0
13,8783548576893292120,pp_1,1.0,-0.0,1.0
13,8783548576893292120,pp_2,1.0,-0.0,1.0
13,8783548576893292120,pp_0,1.0,-0.0,1.0
13,8783548576893292120,group_committer,1.0,-0.0,1.0
13,8783548576893292120,worker_0,1.0,-0.0,1.0
14,8783548576893292120,pp_3,1.0,-0.0,1.0
14,8783548576893292120,pp_1,1.0,-0.0,1.0
14,8783548576893292120,pp_2,1.0,-0.0,1.0
14,8783548576893292120,pp_0,1.0,-0.0,1.0
14,8783548576893292120,group_committer,1.0,-0.0,1.0
14,8783548576893292120,worker_0,1.0,-0.0,1.0
15,8783548576893292120,pp_3,1.0,-0.0,1.0
15,8783548576893292120,pp_1,1.0,-0.0,1.0
15,8783548576893292120,pp_2,1.0,-0.0,1.0
15,8783548576893292120,pp_0,1.0,-0.0,1.0
15,8783548576893292120,group_committer,1.0,-0.0,1.0
15,8783548576893292120,worker_0,1.0,-0.0,1.0
16,8783548576893292120,pp_3,1.0,-0.0,1.0
16,8783548576893292120,pp_1,1.0,-0.0,1.0
16,8783548576893292120,pp_2,1.0,-0.0,1.0
16,8783548576893292120,pp_0,1.0,-0.0,1.0
16,8783548576893292120,group_committer,1.0,-0.0,1.0
16,8783548576893292120,worker_0,1.0,-0.0,1.0
17,8783548576893292120,pp_3,1.0,-0.0,1.0
17,8783548576893292120,pp_1,1.0,-0.0,1.0
17,8783548576893292120,pp_2,1.0,-0.0,1.0
17,8783548576893292120,pp_0,1.0,-0.0,1.0
17,8783548576893292120,group_committer,1.0,-0.0,1.0
17,8783548576893292120,worker_0,1.0,-0.0,1.0
18,8783548576893292120,pp_3,1.0,-0.0,1.0
18,8783548576893292120,pp_1,1.0,-0.0,1.0
18,8783548576893292120,pp_2,1.0,-0.0,1.0
18,8783548576893292120,pp_0,1.0,-0.0,1.0
18,8783548576893292120,group_committer,1.0,-0.0,1.0
18,8783548576893292120,worker_0,1.0,-0.0,1.0
19,8783548576893292120,pp_3,1.0,-0.0,1.0
19,8783548576893292120,pp_1,1.0,-0.0,1.0
19,8783548576893292120,pp_2,1.0,-0.0,1.0
19,8783548576893292120,pp_0,1.0,-0.0,1.0
19,8783548576893292120,group_committer,1.0,-0.0,1.0
19,8783548576893292120,worker_0,1.0,-0.0,1.0
20,8783548576893292120,pp_3,1.0,-0.0,1.0
20,8783548576893292120,pp_1,1.0,-0.0,1.0
20,8783548576893292120,pp_2,1.0,-0.0,1.0
20,8783548576893292120,pp_0,1.0,-0.0,1.0
20,8783548576893292120,group_committer,1.0,-0.0,1.0
20,8783548576893292120,worker_0,1.0,-0.0,1.0
21,8783548576893292120,pp_3,1.0,-0.0,1.0
21,8783548576893292120,pp_1,1.0,-0.0,1.0
21,8783548576893292120,pp_2,1.0,-0.0,1.0
21,8783548576893292120,pp_0,1.0,-0.0,1.0
21,8783548576893292120,group_committer,1.0,-0.0,1.0
21,8783548576893292120,worker_0,1.0,-0.0,1.0
22,8783548576893292120,pp_3,1.0,-0.0,1.0
22,8783548576893292120,pp_1,1.0,-0.0,1.0
22,8783548576893292120,pp_2,1.0,-0.0,1.0
22,8783548576893292120,pp_0,1.0,-0.0,1.0
22,8783548576893292120,group_committer,1.0,-0.0,1.0
22,8783548576893292120,worker_0,1.0,-0.0,1.0
23,8783548576893292120,pp_3,1.0,-0.0,1.0
23,8783548576893292120,pp_1,1.0,-0.0,1.0
23,8783548576893292120,pp_2,1.0,-0.0,1.0
23,8783548576893292120,pp_0,1.0,-0.0,1.0
23,8783548576893292120,group_committer,1.0,-0.0,1.0
23,8783548576893292120,worker_0,1.0,-0.0,1.0
24,8783548576893292120,pp_3,1.0,-0.0,1.0
24,8783548576893292120,pp_1,1.0,-0.0,1.0
24,8783548576893292120,pp_2,1.0,-0.0,1.0
24,8783548576893292120,pp_0,1.0,-0.0,1.0
24,8783548576893292120,group_committer,1.0,-0.0,1.0
24,8783548576893292120,worker_0,1.0,-0.0,1.0
25,8783548576893292120,pp_3,1.0,-0.0,1.0
25,8783548576893292120,pp_1,1.0,-0.0,1.0
25,8783548576893292120,pp_2,1.0,-0.0,1.0
25,8783548576893292120,pp_0,1.0,-0.0,1.0
25,8783548576893292120,group_committer,1.0,-0.0,1.0
25,8783548576893292120,worker_0,1.0,-0.0,1.0
26,8783548576893292120,pp_3,1.0,-0.0,1.0
26,8783548576893292120,pp_1,1.0,-0.0,1.0
26,8783548576893292120,pp_2,1.0,-0.0,1.0
26,8783548576893292120,pp_0,1.0,-0.0,1.0
26,8783548576893292120,group_committer,1.0,-0.0,1.0
26,8783548576893292120,worker_0,1.0,-0.0,1.0
27,8783548576893292120,pp_3,1.0,-0.0,1.0
27,8783548576893292120,pp_1,1.0,-0.0,1.0
27,8783548576893292120,pp_2,1.0,-0.0,1.0
27,8783548576893292120,pp_0,1.0,-0.0,1.0
27,8783548576893292120,group_committer,1.0,-0.0,1.0
27,8783548576893292120,worker_0,1.0,-0.0,1.0
28,8783548576893292120,pp_3,1.0,-0.0,1.0
28,8783548576893292120,pp_1,1.0,-0.0,1.0
28,8783548576893292120,pp_2,1.0,-0.0,1.0
28,8783548576893292120,pp_0,1.0,-0.0,1.0
28,8783548576893292120,group_committer,1.0,-0.0,1.0
28,8783548576893292120,worker_0,1.0,-0.0,1.0
29,8783548576893292120,pp_3,1.0,-0.0,1.0
29,8783548576893292120,pp_1,1.0,-0.0,1.0
