t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
0,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,4669,39.6,0,0,0.0,60.4,0,0,0,0,1,0,1,0,0,0.0,0,0,12.7,0,-nan,12.8,0,78829,32,-nan,0,57,0.0,0,0
1,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,23016,34.5,0,0,0.0,65.5,0,0,0,0,0,0,0,0,0,0.0,0,0,0.7,0,-nan,0.8,0,395344,5032823,-nan,0,2,0.0,0,0
2,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,12825,-nan,0,0,-nan,-nan,0,0,0,0,0,0,0,0,0,0.0,0,0,0.3,0,-nan,0.4,0,180594,523402,-nan,0,0,0.0,0,0
3,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,22003,33.8,0,0,0.2,66.0,0,0,0,0,374730,0,8033,0,0,0.0,0,0,0.6,0,-nan,0.7,0,314465,2936295,-nan,0,1,0.0,0,0
4,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,17916,32.0,0,0,0.2,67.8,0,0,0,0,169547,0,6351,0,0,0.0,0,0,0.7,0,-nan,0.5,0,249988,3316744,-nan,0,1,0.0,0,0
5,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,17954,18.7,0,0,0.3,81.0,0,0,0,0,426874,0,6489,0,0,0.0,0,0,0.5,0,-nan,0.6,0,259274,2302054,-nan,0,1,0.0,0,0
6,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,17596,19.5,0,0,0.3,80.2,0,0,0,0,263476,0,6614,0,0,0.0,0,0,0.7,0,-nan,0.5,0,258831,3809626,-nan,0,1,0.0,0,0
7,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,5469,19.6,0,0,0.2,80.2,0,0,0,0,307221,0,1746,0,0,0.0,0,0,0.2,0,-nan,0.1,0,66639,1551278,-nan,0,1,0.0,0,0
8,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,26823,25.4,0,0,0.3,74.3,0,0,0,0,135075,0,10154,0,0,0.0,0,0,0.5,0,-nan,0.8,0,399424,4292437,-nan,0,1,0.0,0,0
9,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,7474,-nan,0,0,-nan,-nan,0,0,0,0,0,0,2534,0,0,0.0,0,0,0.6,0,-nan,0.2,0,98613,628,-nan,0,0,0.0,0,0
10,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,4268,26.6,0,0,0.1,73.2,0,0,0,0,425603,0,1759,0,0,0.0,0,0,0.2,0,-nan,0.1,0,67507,1766438,-nan,0,1,0.0,0,0
11,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,29599,18.6,0,0,0.5,80.9,0,0,0,0,135789,0,11320,0,0,0.0,0,0,0.6,0,-nan,1.0,0,446253,3674793,-nan,0,1,0.0,0,0
12,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,17760,18.3,0,0,0.2,81.5,0,0,0,0,311842,0,6423,0,0,0.0,0,0,0.6,0,-nan,0.6,0,266643,3137874,-nan,0,1,0.0,0,0
13,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,14064,17.9,0,0,0.2,81.9,0,0,0,0,267997,0,5186,0,0,0.0,0,0,0.7,0,-nan,0.5,0,216333,2916688,-nan,0,1,0.0,0,0
14,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,7367,25.5,0,0,0.2,74.3,0,0,0,0,270918,0,2349,0,0,0.0,0,0,0.1,0,-nan,0.2,0,98684,1629612,-nan,0,1,0.0,0,0
15,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,17823,-nan,0,0,-nan,-nan,0,0,0,0,0,0,6679,0,0,0.0,0,0,0.5,0,-nan,0.6,0,273036,1708227,-nan,0,0,0.0,0,0
16,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,18176,26.9,0,0,0.2,72.9,0,0,0,0,171267,0,6778,0,0,0.0,0,0,0.7,0,-nan,0.6,0,267506,2666851,-nan,0,1,0.0,0,0
17,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,18526,36.1,0,0,0.2,63.7,0,0,0,0,398218,0,7422,0,0,0.0,0,0,0.6,0,-nan,0.6,0,290869,3732885,-nan,0,1,0.0,0,0
18,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,13899,39.0,0,0,0.2,60.7,0,0,0,0,283135,0,5345,0,0,0.0,0,0,0.5,0,-nan,0.4,0,207529,3279013,-nan,0,1,0.0,0,0
19,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,9565,-nan,0,0,-nan,-nan,0,0,0,0,0,0,3286,0,0,0.0,0,0,0.2,0,-nan,0.3,0,128458,15560,-nan,0,0,0.0,0,0
20,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,25006,24.2,0,0,0.2,75.5,0,0,0,0,624959,0,9776,0,0,0.0,0,0,0.8,0,-nan,0.8,0,376658,5481682,-nan,0,2,0.0,0,0
21,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,11997,-nan,0,0,-nan,-nan,0,0,0,0,0,0,4338,0,0,0.0,0,0,0.4,0,-nan,0.4,0,170892,786231,-nan,0,0,0.0,0,0
22,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,20980,19.5,0,0,0.2,80.4,0,0,0,0,309714,0,8034,0,0,0.0,0,0,0.5,0,-nan,0.7,0,318794,3245100,-nan,0,1,0.0,0,0
23,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,15954,18.3,0,0,0.3,81.4,0,0,0,0,237560,0,5965,0,0,0.0,0,0,0.7,0,-nan,0.5,0,234201,2716138,-nan,0,1,0.0,0,0
24,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,10403,19.3,0,0,0.2,80.6,0,0,0,0,332231,0,4200,0,0,0.0,0,0,0.4,0,-nan,0.4,0,163777,3066399,-nan,0,1,0.0,0,0
25,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,24701,19.2,0,0,0.3,80.5,0,0,0,0,221216,0,8970,0,0,0.0,0,0,0.8,0,-nan,0.7,0,349359,2704772,-nan,0,1,0.0,0,0
26,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,3059,-nan,0,0,-nan,-nan,0,0,0,0,0,0,792,0,0,0.0,0,0,0.0,0,-nan,0.1,0,31330,7,-nan,0,0,0.0,0,0
27,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,27698,17.2,0,0,0.2,82.6,0,0,0,0,543324,0,10667,0,0,0.0,0,0,0.7,0,-nan,0.9,0,415807,5797853,-nan,0,2,0.0,0,0
28,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,8852,-nan,0,0,-nan,-nan,0,0,0,0,0,0,3190,0,0,0.0,0,0,0.6,0,-nan,0.3,0,123961,396,-nan,0,0,0.0,0,0
29,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,17726,21.0,0,0,0.1,78.8,0,0,0,0,338259,0,6807,0,0,0.0,0,0,0.3,0,-nan,0.6,0,280519,3714853,-nan,0,1,0.0,0,0
30,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,18254,15.7,0,0,0.4,83.9,0,0,0,0,202294,0,6398,0,0,0.0,0,0,0.8,0,-nan,0.5,0,249942,2628118,-nan,0,1,0.0,0,0
31,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,17089,15.7,0,0,0.2,84.2,0,0,0,0,320247,0,7056,0,0,0.0,0,0,0.4,0,-nan,0.6,0,277121,3100582,-nan,0,1,0.0,0,0
32,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,17736,11.9,0,0,0.3,87.8,0,0,0,0,209703,0,6293,0,0,0.0,0,0,0.8,0,-nan,0.5,0,241911,2853735,-nan,0,1,0.0,0,0
33,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,8262,19.6,0,0,0.1,80.3,0,0,0,0,226010,0,3437,0,0,0.0,0,0,0.4,0,-nan,0.3,0,131117,2208729,-nan,0,1,0.0,0,0
34,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,26438,15.2,0,0,0.4,84.4,0,0,0,0,293025,0,10424,0,0,0.0,0,0,0.8,0,-nan,0.8,0,399322,3474585,-nan,0,1,0.0,0,0
35,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,186,-nan,0,0,-nan,-nan,0,0,0,0,0,0,45,0,0,0.0,0,0,0.0,0,-nan,0.0,0,1840,0,-nan,0,0,0.0,0,0
36,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,28489,17.6,0,0,0.2,82.2,0,0,0,0,532637,0,11295,0,0,0.0,0,0,0.9,0,-nan,0.9,0,444748,5682509,-nan,0,2,0.0,0,0
37,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,5370,-nan,0,0,-nan,-nan,0,0,0,0,0,0,1968,0,0,0.0,0,0,0.2,0,-nan,0.2,0,77809,106739,-nan,0,0,0.0,0,0
38,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,20706,18.8,0,0,0.1,81.1,0,0,0,0,332130,0,8282,0,0,0.0,0,0,0.3,0,-nan,0.7,0,330260,3554953,-nan,0,1,0.0,0,0
39,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,13348,20.5,0,0,0.4,79.2,0,0,0,0,190821,0,4836,0,0,0.0,0,0,0.8,0,-nan,0.4,0,199651,2340304,-nan,0,1,0.0,0,0
40,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,16818,16.9,0,0,0.2,82.9,0,0,0,0,333761,0,6887,0,0,0.0,0,0,0.3,0,-nan,0.6,0,271964,3352819,-nan,0,1,0.0,0,0
41,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,17097,18.3,0,0,0.4,81.3,0,0,0,0,195498,0,6566,0,0,0.0,0,0,0.8,0,-nan,0.6,0,261091,2283487,-nan,0,1,0.0,0,0
42,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,2610,17.3,0,0,0.1,82.6,0,0,0,0,349198,0,1046,0,0,0.0,0,0,0.3,0,-nan,0.1,0,41130,1419539,-nan,0,1,0.0,0,0
43,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,29252,15.3,0,0,0.4,84.3,0,0,0,0,180857,0,11837,0,0,0.0,0,0,0.8,0,-nan,1.0,0,465150,3840866,-nan,0,1,0.0,0,0
44,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,4861,23.4,0,0,0.1,76.4,0,0,0,0,277015,0,1766,0,0,0.0,0,0,0.3,0,-nan,0.2,0,72310,2076843,-nan,0,1,0.0,0,0
45,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,27613,18.1,0,0,0.3,81.6,0,0,0,0,232927,0,9524,0,0,0.0,0,0,0.8,0,-nan,0.9,0,401596,4180743,-nan,0,1,0.0,0,0
46,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,5636,-nan,0,0,-nan,-nan,0,0,0,0,0,0,1742,0,0,0.0,0,0,0.1,0,-nan,0.2,0,74239,27,-nan,0,0,0.0,0,0
47,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,24296,18.2,0,0,0.2,81.5,0,0,0,0,548496,0,8909,0,0,0.0,0,0,0.5,0,-nan,0.8,0,357084,4942526,-nan,0,2,0.0,0,0
48,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,13157,-nan,0,0,-nan,-nan,0,0,0,0,0,0,4706,0,0,0.0,0,0,0.8,0,-nan,0.4,0,193528,1363123,-nan,0,0,0.0,0,0
49,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,14863,20.1,0,0,0.1,79.8,0,0,0,0,228197,0,5778,0,0,0.0,0,0,0.4,0,-nan,0.5,0,237896,3238700,-nan,0,1,0.0,0,0
50,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,19924,17.7,0,0,0.4,81.9,0,0,0,0,322031,0,7679,0,0,0.0,0,0,0.8,0,-nan,0.6,0,305371,1952316,-nan,0,1,0.0,0,0
51,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,5118,17.7,0,0,0.2,82.1,0,0,0,0,343574,0,2250,0,0,0.0,0,0,0.4,0,-nan,0.2,0,90103,2574569,-nan,0,1,0.0,0,0
52,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,26837,16.5,0,0,0.4,83.1,0,0,0,0,198815,0,10898,0,0,0.0,0,0,0.8,0,-nan,0.9,0,425036,3738733,-nan,0,1,0.0,0,0
53,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,1902,-nan,0,0,-nan,-nan,0,0,0,0,0,0,587,0,0,0.0,0,0,0.0,0,-nan,0.0,0,21544,8,-nan,0,0,0.0,0,0
54,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,26296,16.1,0,0,0.2,83.7,0,0,0,0,536863,0,9659,0,0,0.0,0,0,0.6,0,-nan,0.8,0,395007,5398692,-nan,0,2,0.0,0,0
55,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,9486,-nan,0,0,-nan,-nan,0,0,0,0,0,0,3217,0,0,0.0,0,0,0.6,0,-nan,0.3,0,139579,608912,-nan,0,0,0.0,0,0
56,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,18935,20.3,0,0,0.1,79.6,0,0,0,0,342892,0,7476,0,0,0.0,0,0,0.3,0,-nan,0.6,0,291535,3634636,-nan,0,1,0.0,0,0
57,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,15736,13.8,0,0,0.4,85.8,0,0,0,0,190542,0,5828,0,0,0.0,0,0,0.8,0,-nan,0.5,0,234426,1976438,-nan,0,1,0.0,0,0
58,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,14207,20.5,0,0,0.1,79.4,0,0,0,0,323716,0,5578,0,0,0.0,0,0,0.4,0,-nan,0.5,0,223627,3535779,-nan,0,1,0.0,0,0
59,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,20953,14.1,0,0,0.4,85.5,0,0,0,0,192806,0,7821,0,0,0.0,0,0,0.9,0,-nan,0.7,0,310563,2432818,-nan,0,1,0.0,0,0
60,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,15,-nan,0,0,-nan,-nan,0,0,0,0,0,0,3,0,0,0.0,0,0,0.0,0,-nan,0.0,0,163,0,-nan,0,0,0.0,0,0
61,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,31864,19.3,0,0,0.2,80.5,0,0,0,0,542475,0,12288,0,0,0.0,0,0,1.0,0,-nan,1.1,0,495315,5939734,-nan,0,2,0.0,0,0
62,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,2607,17.9,0,0,0.2,82.0,0,0,0,0,304268,0,827,0,0,0.0,0,0,0.0,0,-nan,0.1,0,32371,460297,-nan,0,1,0.0,0,0
63,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,27450,14.3,0,0,0.3,85.4,0,0,0,0,221009,0,10776,0,0,0.0,0,0,0.7,0,-nan,0.9,0,418929,4999379,-nan,0,1,0.0,0,0
64,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,8253,-nan,0,0,-nan,-nan,0,0,0,0,0,0,3133,0,0,0.0,0,0,0.5,0,-nan,0.2,0,115605,7486,-nan,0,0,0.0,0,0
65,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,19523,18.3,0,0,0.1,81.5,0,0,0,0,340548,0,7792,0,0,0.0,0,0,0.3,0,-nan,0.7,0,311443,3849393,-nan,0,1,0.0,0,0
66,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,16074,15.8,0,0,0.4,83.8,0,0,0,0,192992,0,5575,0,0,0.0,0,0,0.9,0,-nan,0.5,0,221429,2439057,-nan,0,1,0.0,0,0
67,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,4788,17.2,0,0,0.1,82.7,0,0,0,0,353105,0,1874,0,0,0.0,0,0,0.3,0,-nan,0.2,0,77101,1763326,-nan,0,1,0.0,0,0
68,5973777571537088032,0,0,0,0,0,0,0,0,0,0,0,29984,14.7,0,0,0.4,84.9,0,0,0,0,184148,0,11063,0,0,0.0,0,0,0.8,0,-nan,1.0,0,447361,4045745,-nan,0,1,0.0,0,0
