t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
0,3461477181774141512,0,0,0,0,0,0,0,0,0,0,0,4232,33.1,0,0,0.0,66.9,0,0,0,0,2713,0,999,0,0,0.0,0,0,12.7,0,-nan,12.8,0,64640,678938,-nan,0,72,0.0,0,0
1,3461477181774141512,0,0,0,0,0,0,0,0,0,0,0,23706,11.0,0,0,0.5,88.5,0,0,0,0,82117,0,9889,0,0,0.0,0,0,0.7,0,-nan,0.8,0,389881,3785826,-nan,0,2,0.0,0,0
2,3461477181774141512,0,0,0,0,0,0,0,0,0,0,0,11035,19.9,0,0,0.2,79.9,0,0,0,0,216822,0,4978,0,0,0.0,0,0,0.3,0,-nan,0.4,0,191629,2517670,-nan,0,1,0.0,0,0
3,3461477181774141512,0,0,0,0,0,0,0,0,0,0,0,11464,13.0,0,0,0.4,86.6,0,0,0,0,150162,0,4819,0,0,0.0,0,0,0.6,0,-nan,0.4,0,188509,1561177,-nan,0,1,0.0,0,0
4,3461477181774141512,0,0,0,0,0,0,0,0,0,0,0,11893,16.9,0,0,0.1,82.9,0,0,0,0,256970,0,5051,0,0,0.0,0,0,0.2,0,-nan,0.4,0,205126,2630185,-nan,0,1,0.0,0,0
5,3461477181774141512,0,0,0,0,0,0,0,0,0,0,0,10315,17.3,0,0,0.5,82.3,0,0,0,0,114190,0,4554,0,0,0.0,0,0,0.6,0,-nan,0.4,0,180389,1557304,-nan,0,1,0.0,0,0
6,3461477181774141512,0,0,0,0,0,0,0,0,0,0,0,16232,18.3,0,0,0.2,81.4,0,0,0,0,398499,0,7200,0,0,0.0,0,0,0.3,0,-nan,0.6,0,281117,3606125,-nan,0,2,0.0,0,0
7,3461477181774141512,0,0,0,0,0,0,0,0,0,0,0,6150,-nan,0,0,-nan,-nan,0,0,0,0,0,0,2588,0,0,0.0,0,0,0.6,0,-nan,0.2,0,101192,599675,-nan,0,0,0.0,0,0
8,3461477181774141512,0,0,0,0,0,0,0,0,0,0,0,19337,17.9,0,0,0.2,81.9,0,0,0,0,378976,0,8431,0,0,0.0,0,0,0.6,0,-nan,0.7,0,341745,4198670,-nan,0,2,0.0,0,0
9,3461477181774141512,0,0,0,0,0,0,0,0,0,0,0,13578,15.2,0,0,0.2,84.5,0,0,0,0,175000,0,5891,0,0,0.0,0,0,0.4,0,-nan,0.5,0,230126,1796275,-nan,0,1,0.0,0,0
