t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
0,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,3448,35.5,0,0,0.0,64.5,0,0,0,0,553,0,591,0,0,0.0,0,0,12.8,0,-nan,12.8,0,49229,486455,-nan,0,66,0.0,0,0
1,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,27897,20.5,0,0,0.5,79.1,0,0,0,0,75892,0,11105,0,0,0.0,0,0,0.6,0,-nan,0.9,0,439500,4210595,-nan,0,2,0.0,0,0
2,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,13187,26.7,0,0,0.2,73.1,0,0,0,0,144692,0,5366,0,0,0.0,0,0,0.5,0,-nan,0.4,0,210069,1753333,-nan,0,1,0.0,0,0
3,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,15203,15.3,0,0,0.2,84.5,0,0,0,0,268618,0,6096,0,0,0.0,0,0,0.5,0,-nan,0.5,0,239497,3075337,-nan,0,1,0.0,0,0
4,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,13145,18.8,0,0,0.2,80.9,0,0,0,0,209807,0,5310,0,0,0.0,0,0,0.5,0,-nan,0.4,0,208511,1989512,-nan,0,1,0.0,0,0
5,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,14394,16.6,0,0,0.2,83.2,0,0,0,0,239789,0,5832,0,0,0.0,0,0,0.5,0,-nan,0.5,0,233212,2552153,-nan,0,1,0.0,0,0
6,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,14027,15.7,0,0,0.2,84.1,0,0,0,0,209014,0,5205,0,0,0.0,0,0,0.5,0,-nan,0.4,0,210993,2090557,-nan,0,1,0.0,0,0
7,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,14728,17.3,0,0,0.2,82.5,0,0,0,0,231843,0,6117,0,0,0.0,0,0,0.5,0,-nan,0.5,0,241250,2722278,-nan,0,1,0.0,0,0
8,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,13129,24.1,0,0,0.2,75.7,0,0,0,0,131967,0,5374,0,0,0.0,0,0,0.7,0,-nan,0.4,0,210433,2355538,-nan,0,1,0.0,0,0
9,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,12285,35.9,0,0,0.2,64.0,0,0,0,0,299460,0,5396,0,0,0.0,0,0,0.3,0,-nan,0.4,0,209371,3083339,-nan,0,1,0.0,0,0
10,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,15833,28.9,0,0,0.4,70.7,0,0,0,0,233495,0,6660,0,0,0.0,0,0,0.7,0,-nan,0.6,0,262108,2303276,-nan,0,1,0.0,0,0
11,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,5819,17.0,0,0,0.2,82.8,0,0,0,0,314304,0,2449,0,0,0.0,0,0,0.2,0,-nan,0.2,0,97786,1691330,-nan,0,1,0.0,0,0
12,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,19790,14.6,0,0,0.4,84.9,0,0,0,0,155620,0,8237,0,0,0.0,0,0,0.7,0,-nan,0.7,0,323061,3064318,-nan,0,1,0.0,0,0
13,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,3424,18.1,0,0,0.1,81.8,0,0,0,0,268353,0,1516,0,0,0.0,0,0,0.2,0,-nan,0.1,0,64305,1136459,-nan,0,1,0.0,0,0
14,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,21650,15.6,0,0,0.5,83.9,0,0,0,0,142184,0,9177,0,0,0.0,0,0,0.6,0,-nan,0.8,0,359178,3321133,-nan,0,1,0.0,0,0
15,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,6918,16.7,0,0,0.2,83.2,0,0,0,0,257690,0,2972,0,0,0.0,0,0,0.3,0,-nan,0.3,0,119157,1956977,-nan,0,1,0.0,0,0
16,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,19433,15.3,0,0,0.3,84.4,0,0,0,0,169300,0,7639,0,0,0.0,0,0,0.7,0,-nan,0.7,0,314207,2937903,-nan,0,1,0.0,0,0
17,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,4164,19.8,0,0,0.1,80.1,0,0,0,0,283564,0,1730,0,0,0.0,0,0,0.2,0,-nan,0.2,0,69746,1411011,-nan,0,1,0.0,0,0
18,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,21753,12.1,0,0,0.4,87.4,0,0,0,0,156215,0,8477,0,0,0.0,0,0,0.7,0,-nan,0.8,0,354496,2832419,-nan,0,1,0.0,0,0
19,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,2321,18.3,0,0,0.1,81.5,0,0,0,0,283627,0,997,0,0,0.0,0,0,0.2,0,-nan,0.1,0,40436,1338777,-nan,0,1,0.0,0,0
20,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,23692,15.4,0,0,0.4,84.2,0,0,0,0,140901,0,9616,0,0,0.0,0,0,0.5,0,-nan,0.8,0,384375,3845462,-nan,0,1,0.0,0,0
21,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,14040,17.4,0,0,0.2,82.4,0,0,0,0,217331,0,5882,0,0,0.0,0,0,0.5,0,-nan,0.5,0,231413,2287135,-nan,0,1,0.0,0,0
22,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,13341,16.9,0,0,0.2,82.8,0,0,0,0,174044,0,5576,0,0,0.0,0,0,0.5,0,-nan,0.5,0,221461,2498407,-nan,0,1,0.0,0,0
23,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,15423,17.8,0,0,0.2,81.9,0,0,0,0,265386,0,6158,0,0,0.0,0,0,0.4,0,-nan,0.5,0,239094,2683586,-nan,0,1,0.0,0,0
24,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,12439,16.2,0,0,0.2,83.5,0,0,0,0,215249,0,5179,0,0,0.0,0,0,0.6,0,-nan,0.4,0,204982,2106388,-nan,0,1,0.0,0,0
25,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,15937,18.1,0,0,0.2,81.6,0,0,0,0,449429,0,6356,0,0,0.0,0,0,0.4,0,-nan,0.5,0,257968,3226493,-nan,0,2,0.0,0,0
26,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,11159,-nan,0,0,-nan,-nan,0,0,0,0,0,0,4383,0,0,0.0,0,0,0.6,0,-nan,0.4,0,172941,1439594,-nan,0,0,0.0,0,0
27,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,17899,19.0,0,0,0.2,80.8,0,0,0,0,257183,0,6792,0,0,0.0,0,0,0.3,0,-nan,0.6,0,278761,2623594,-nan,0,1,0.0,0,0
28,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,10739,18.8,0,0,0.3,80.9,0,0,0,0,174876,0,4283,0,0,0.0,0,0,0.7,0,-nan,0.4,0,169001,2130520,-nan,0,1,0.0,0,0
29,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,15302,18.6,0,0,0.1,81.2,0,0,0,0,286214,0,6379,0,0,0.0,0,0,0.3,0,-nan,0.5,0,252047,3360528,-nan,0,1,0.0,0,0
30,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,12114,16.1,0,0,0.3,83.6,0,0,0,0,161066,0,5054,0,0,0.0,0,0,0.7,0,-nan,0.4,0,193898,1810772,-nan,0,1,0.0,0,0
31,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,10971,16.2,0,0,0.2,83.7,0,0,0,0,303030,0,4463,0,0,0.0,0,0,0.2,0,-nan,0.4,0,181321,2520878,-nan,0,1,0.0,0,0
32,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,15273,14.5,0,0,0.4,85.0,0,0,0,0,139394,0,6095,0,0,0.0,0,0,0.7,0,-nan,0.5,0,243447,1961328,-nan,0,1,0.0,0,0
33,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,7383,18.7,0,0,0.1,81.2,0,0,0,0,270749,0,3029,0,0,0.0,0,0,0.2,0,-nan,0.3,0,129312,2296945,-nan,0,1,0.0,0,0
34,11412778630104839040,0,0,0,0,0,0,0,0,0,0,0,19247,15.0,0,0,0.5,84.5,0,0,0,0,153109,0,7188,0,0,0.0,0,0,0.6,0,-nan,0.6,0,297525,2446272,-nan,0,1,0.0,0,0
