t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
23,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,16903,0.0,0,0,0.3,99.7,0,0,0,0,326139,0,7842,0,0,0.0,0,0,0.7,0,-nan,0.7,0,312959,3493090,-nan,0,2,0.0,0,0
24,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,12059,0.0,0,0,0.3,99.7,0,0,0,0,305063,0,5479,0,0,0.0,0,0,0.7,0,-nan,0.5,0,216773,2893346,-nan,0,2,0.0,0,0
25,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,14442,0.0,0,0,0.3,99.7,0,0,0,0,172385,0,6265,0,0,0.0,0,0,0.3,0,-nan,0.6,0,262044,2326472,-nan,0,1,0.0,0,0
26,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,9911,0.0,0,0,0.3,99.7,0,0,0,0,321779,0,4388,0,0,0.0,0,0,0.7,0,-nan,0.4,0,176037,2501200,-nan,0,2,0.0,0,0
27,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,16765,0.0,0,0,0.3,99.7,0,0,0,0,150014,0,7570,0,0,0.0,0,0,0.4,0,-nan,0.6,0,295327,2641749,-nan,0,1,0.0,0,0
28,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,13731,0.0,0,0,0.3,99.7,0,0,0,0,310747,0,6116,0,0,0.0,0,0,0.7,0,-nan,0.5,0,249671,3300201,-nan,0,2,0.0,0,0
29,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,13932,0.0,0,0,0.3,99.7,0,0,0,0,163209,0,5818,0,0,0.0,0,0,0.3,0,-nan,0.5,0,237846,2069543,-nan,0,1,0.0,0,0
30,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,12222,0.0,0,0,0.3,99.7,0,0,0,0,323611,0,5795,0,0,0.0,0,0,0.7,0,-nan,0.5,0,223650,3039248,-nan,0,2,0.0,0,0
31,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,12907,0.0,0,0,0.3,99.7,0,0,0,0,144237,0,5714,0,0,0.0,0,0,0.4,0,-nan,0.5,0,234057,1985317,-nan,0,1,0.0,0,0
32,8868377080716520220,0,0,0,0,0,0,0,0,0,0,0,16421,0.0,0,0,0.3,99.7,0,0,0,0,311436,0,7215,0,0,0.0,0,0,0.7,0,-nan,0.6,0,296960,3537330,-nan,0,2,0.0,0,0
