t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
0,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,581,0.0,0,0,0.0,100.0,0,0,0,0,42,0,11,0,0,0.0,0,0,12.7,0,-nan,12.7,0,17107,176022,-nan,0,1016,0.0,0,0
1,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,9179,0.0,0,0,0.2,99.8,0,0,0,0,153312,0,3011,0,0,0.0,0,0,0.6,0,-nan,0.6,0,271785,2968724,-nan,0,3,0.0,0,0
2,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,8402,0.0,0,0,0.3,99.7,0,0,0,0,180532,0,6242,0,0,0.0,0,0,0.4,0,-nan,0.5,0,246798,2452295,-nan,0,2,0.0,0,0
3,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,7835,0.0,0,0,0.3,99.7,0,0,0,0,280389,0,5770,0,0,0.0,0,0,0.6,0,-nan,0.5,0,232354,2762446,-nan,0,3,0.0,0,0
4,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,7207,0.0,0,0,0.3,99.7,0,0,0,0,181759,0,5231,0,0,0.0,0,0,0.4,0,-nan,0.5,0,214422,2225337,-nan,0,2,0.0,0,0
5,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,7319,0.0,0,0,0.3,99.7,0,0,0,0,264194,0,5244,0,0,0.0,0,0,0.6,0,-nan,0.5,0,214976,2451463,-nan,0,3,0.0,0,0
6,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,8300,0.0,0,0,0.3,99.7,0,0,0,0,182985,0,6027,0,0,0.0,0,0,0.4,0,-nan,0.5,0,246392,2457947,-nan,0,2,0.0,0,0
7,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,7604,0.0,0,0,0.3,99.7,0,0,0,0,279474,0,5730,0,0,0.0,0,0,0.6,0,-nan,0.5,0,233400,2763318,-nan,0,3,0.0,0,0
8,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,7306,0.0,0,0,0.3,99.7,0,0,0,0,180733,0,5226,0,0,0.0,0,0,0.4,0,-nan,0.4,0,213422,2214972,-nan,0,2,0.0,0,0
9,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,7323,0.0,0,0,0.3,99.7,0,0,0,0,268720,0,5302,0,0,0.0,0,0,0.6,0,-nan,0.5,0,214367,2448364,-nan,0,3,0.0,0,0
10,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,8482,0.0,0,0,0.3,99.7,0,0,0,0,176932,0,6268,0,0,0.0,0,0,0.4,0,-nan,0.5,0,247450,2413614,-nan,0,2,0.0,0,0
11,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,7980,0.0,0,0,0.3,99.7,0,0,0,0,281875,0,5644,0,0,0.0,0,0,0.6,0,-nan,0.5,0,234135,2835585,-nan,0,3,0.0,0,0
12,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,6925,0.0,0,0,0.3,99.7,0,0,0,0,180809,0,5041,0,0,0.0,0,0,0.4,0,-nan,0.4,0,208000,2208967,-nan,0,2,0.0,0,0
13,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,7377,0.0,0,0,0.3,99.7,0,0,0,0,263825,0,5381,0,0,0.0,0,0,0.6,0,-nan,0.5,0,214887,2462925,-nan,0,3,0.0,0,0
14,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,8467,0.0,0,0,0.3,99.7,0,0,0,0,177849,0,6031,0,0,0.0,0,0,0.4,0,-nan,0.5,0,245025,2420397,-nan,0,2,0.0,0,0
15,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,7978,0.0,0,0,0.3,99.7,0,0,0,0,277208,0,5835,0,0,0.0,0,0,0.6,0,-nan,0.5,0,234268,2846550,-nan,0,3,0.0,0,0
16,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,6960,0.0,0,0,0.3,99.7,0,0,0,0,180583,0,5000,0,0,0.0,0,0,0.4,0,-nan,0.4,0,206944,2221393,-nan,0,2,0.0,0,0
17,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,7284,0.0,0,0,0.3,99.7,0,0,0,0,263018,0,5222,0,0,0.0,0,0,0.6,0,-nan,0.5,0,215186,2445841,-nan,0,3,0.0,0,0
18,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,8419,0.0,0,0,0.3,99.7,0,0,0,0,177937,0,5979,0,0,0.0,0,0,0.4,0,-nan,0.5,0,244849,2479325,-nan,0,2,0.0,0,0
19,9397037728609216324,0,0,0,0,0,0,0,0,0,0,0,7879,0.0,0,0,0.3,99.7,0,0,0,0,282039,0,5923,0,0,0.0,0,0,0.6,0,-nan,0.5,0,236298,2825018,-nan,0,3,0.0,0,0
