t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
0,12325798376178120976,0,0,0,0,0,0,0,0,0,0,0,5162,0.0,0,0,0.0,100.0,0,0,0,0,1,0,1,0,0,0.0,0,0,12.6,0,-nan,12.9,0,90498,38,-nan,0,842,0.0,0,0
1,12325798376178120976,0,0,0,0,0,0,0,0,0,0,0,17182,0.0,0,0,0.0,100.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.5,0,-nan,0.6,0,291419,1727073,-nan,0,1,0.0,0,0
2,12325798376178120976,0,0,0,0,0,0,0,0,0,0,0,21805,0.0,0,0,0.0,100.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.5,0,-nan,0.6,0,301810,4456579,-nan,0,1,0.0,0,0
3,12325798376178120976,0,0,0,0,0,0,0,0,0,0,0,18038,0.0,0,0,0.4,99.6,0,0,0,0,293507,0,5862,0,0,0.0,0,0,0.6,0,-nan,0.5,0,243596,2865643,-nan,0,1,0.0,0,0
4,12325798376178120976,0,0,0,0,0,0,0,0,0,0,0,21240,0.0,0,0,0.3,99.7,0,0,0,0,555151,0,8431,0,0,0.0,0,0,1.1,0,-nan,0.7,0,329365,4481332,-nan,0,2,0.0,0,0
5,12325798376178120976,0,0,0,0,0,0,0,0,0,0,0,16944,0.0,0,0,0.3,99.7,0,0,0,0,252953,0,5873,0,0,0.0,0,0,0.5,0,-nan,0.5,0,240011,2531370,-nan,0,1,0.0,0,0
6,12325798376178120976,0,0,0,0,0,0,0,0,0,0,0,23020,0.0,0,0,0.3,99.7,0,0,0,0,228821,0,8553,0,0,0.0,0,0,0.6,0,-nan,0.7,0,330607,3566118,-nan,0,1,0.0,0,0
7,12325798376178120976,0,0,0,0,0,0,0,0,0,0,0,16164,0.0,0,0,0.3,99.7,0,0,0,0,259908,0,6219,0,0,0.0,0,0,0.5,0,-nan,0.5,0,241265,2731213,-nan,0,1,0.0,0,0
8,12325798376178120976,0,0,0,0,0,0,0,0,0,0,0,21034,0.0,0,0,0.3,99.7,0,0,0,0,232412,0,8139,0,0,0.0,0,0,0.6,0,-nan,0.7,0,318694,2677597,-nan,0,1,0.0,0,0
9,12325798376178120976,0,0,0,0,0,0,0,0,0,0,0,16505,0.0,0,0,0.3,99.7,0,0,0,0,265607,0,6432,0,0,0.0,0,0,0.5,0,-nan,0.5,0,253537,2541146,-nan,0,1,0.0,0,0
