Loading TPC-C
TPC-C loaded - consumed space in GiB = 19.6596
Warehouse pages = 8
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 0   | 43826      | 99.9817- | 5.390411 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 12.8     | 12.5     | 19.8     | 1250     |
| 1   | 258087     | 98.9902- | 5.108794 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.5      | 0.6      | 20.1     | 2        |
| 2   | 188087     | 97.4756- | 5.034863 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.4      | 0.6      | 20.4     | 2        |
| 3   | 255555     | 97.4459- | 5.044384 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.5      | 0.4      | 20.7     | 1        |
| 4   | 272996     | 97.5428- | 5.019101 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.6      | 0.6      | 21.0     | 2        |
| 5   | 272954     | 97.4541- | 4.940447 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.6      | 0.6      | 21.3     | 2        |
| 6   | 273554     | 97.4842- | 4.991560 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.6      | 0.6      | 21.7     | 2        |
| 7   | 260175     | 97.5743- | 4.919309 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.5      | 0.6      | 21.9     | 2        |
| 8   | 194999     | 97.4984- | 4.999951 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.4      | 0.6      | 22.2     | 2        |
| 9   | 253804     | 97.6249- | 5.011696 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.5      | 0.2      | 22.5     | 1        |
| 10  | 228622     | 97.5312- | 4.964958 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.5      | 0.6      | 22.7     | 2        |
| 11  | 176416     | 97.5041- | 5.010715 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.4      | 0.6      | 22.9     | 2        |
| 12  | 245733     | 97.5591- | 4.956894 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.5      | 0.4      | 23.3     | 1        |
| 13  | 270369     | 97.5093- | 4.923849 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.6      | 0.6      | 23.6     | 2        |
| 14  | 271811     | 97.5037- | 4.996400 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.6      | 0.6      | 23.9     | 2        |
| 15  | 270385     | 97.5153- | 4.932598 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.6      | 0.6      | 24.2     | 2        |
| 16  | 195801     | 97.5495- | 4.928357 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.4      | 0.6      | 24.4     | 2        |
| 17  | 239224     | 97.4960- | 4.993685 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.5      | 0.2      | 24.7     | 1        |
| 18  | 247971     | 97.5388- | 4.978119 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.5      | 0.6      | 25.0     | 2        |
| 19  | 170148     | 97.5386- | 5.006281 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.4      | 0.6      | 25.2     | 2        |
| 20  | 230959     | 97.6372- | 4.950450 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.5      | 0.4      | 25.5     | 1        |
| 21  | 269535     | 97.5873- | 4.915193 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.6      | 0.6      | 25.8     | 2        |
| 22  | 271032     | 97.5910- | 4.938410 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 60.0000- | 0.6      | 0.6      | 26.1     | 2        |
