Loading TPC-C
TPC-C loaded - consumed space in GiB = 19.6612
Warehouse pages = 8
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 0   | 64551      | 99.9829- | 5.955798 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 80.0000- | 12.8     | 12.7     | 19.8     | 1069     |
| 1   | 388449     | 99.1509- | 5.750348 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 80.0000- | 0.8      | 0.7      | 20.4     | 2        |
| 2   | 311460     | 97.4356- | 5.619040 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 80.0000- | 0.7      | 0.8      | 20.7     | 2        |
| 3   | 145294     | 97.5470- | 5.273109 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 80.0000- | 0.3      | 0.3      | 20.8     | 1        |
| 4   | 263666     | 97.4915- | 5.713693 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 80.0000- | 0.6      | 0.5      | 21.2     | 1        |
| 5   | 361409     | 97.4466- | 5.454417 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 80.0000- | 0.8      | 0.8      | 21.6     | 2        |
| 6   | 215711     | 97.4628- | 5.428488 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 80.0000- | 0.5      | 0.3      | 21.8     | 1        |
| 7   | 148302     | 97.4147- | 5.663906 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 80.0000- | 0.3      | 0.5      | 22.1     | 1        |
| 8   | 362293     | 97.4876- | 5.384294 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 80.0000- | 0.8      | 0.8      | 22.5     | 2        |
