Loading TPC-C
TPC-C loaded - consumed space in GiB = 19.6567
Warehouse pages = 8
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 0   | 90498      | 99.9988- | 5.396195 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 110.000- | 12.9     | 12.6     | 19.8     | 842      |
| 1   | 291419     | 100.000- | 5.567707 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 110.000- | 0.6      | 0.5      | 20.5     | 1        |
| 2   | 301810     | 100.000- | 6.737945 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 110.000- | 0.6      | 0.5      | 20.7     | 1        |
| 3   | 243596     | 97.5935- | 6.894364 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 110.000- | 0.5      | 0.6      | 21.0     | 1        |
| 4   | 329365     | 97.4402- | 6.058100 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 110.000- | 0.7      | 1.1      | 21.4     | 2        |
| 5   | 240011     | 97.5530- | 6.594151 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 110.000- | 0.5      | 0.5      | 21.6     | 1        |
| 6   | 330607     | 97.4129- | 6.509684 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 110.000- | 0.7      | 0.6      | 21.9     | 1        |
| 7   | 241265     | 97.4223- | 6.279013 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 110.000- | 0.5      | 0.5      | 22.2     | 1        |
| 8   | 318694     | 97.4461- | 6.191424 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 110.000- | 0.7      | 0.6      | 22.6     | 1        |
| 9   | 253537     | 97.4630- | 6.112012 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 110.000- | 0.5      | 0.5      | 22.9     | 1        |
| 10  | 273094     | 97.4444- | 6.353109 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 110.000- | 0.6      | 0.6      | 23.3     | 1        |
| 11  | 265303     | 97.4760- | 6.280843 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 110.000- | 0.6      | 0.5      | 23.6     | 1        |
| 12  | 282757     | 97.4299- | 6.259801 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 110.000- | 0.6      | 1.1      | 24.0     | 2        |
| 13  | 335555     | 97.4153- | 6.256199 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 110.000- | 0.7      | 0.6      | 24.2     | 1        |
| 14  | 230786     | 97.4491- | 6.136858 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 110.000- | 0.5      | 0.5      | 24.5     | 1        |
