t,c_hash,key,GHz,CPU,IPC
0,9397037728609216324,pp_3,1.0,-0.0,1.0
0,9397037728609216324,pp_2,1.0,-0.0,1.0
0,9397037728609216324,pp_1,1.0,-0.0,1.0
0,9397037728609216324,pp_0,1.0,-0.0,1.0
0,9397037728609216324,group_committer,1.0,-0.0,1.0
0,9397037728609216324,worker_39,1.0,-0.0,1.0
0,9397037728609216324,worker_38,1.0,-0.0,1.0
0,9397037728609216324,worker_37,1.0,-0.0,1.0
0,9397037728609216324,worker_36,1.0,-0.0,1.0
0,9397037728609216324,worker_35,1.0,-0.0,1.0
0,9397037728609216324,worker_34,1.0,-0.0,1.0
0,9397037728609216324,worker_33,1.0,-0.0,1.0
0,9397037728609216324,worker_32,1.0,-0.0,1.0
0,9397037728609216324,worker_31,1.0,-0.0,1.0
0,9397037728609216324,worker_30,1.0,-0.0,1.0
0,9397037728609216324,worker_29,1.0,-0.0,1.0
0,9397037728609216324,worker_12,1.0,-0.0,1.0
0,9397037728609216324,worker_11,1.0,-0.0,1.0
0,9397037728609216324,worker_15,1.0,-0.0,1.0
0,9397037728609216324,worker_9,1.0,-0.0,1.0
0,9397037728609216324,worker_8,1.0,-0.0,1.0
0,9397037728609216324,worker_7,1.0,-0.0,1.0
0,9397037728609216324,worker_6,1.0,-0.0,1.0
0,9397037728609216324,worker_5,1.0,-0.0,1.0
0,9397037728609216324,worker_4,1.0,-0.0,1.0
0,9397037728609216324,worker_3,1.0,-0.0,1.0
0,9397037728609216324,worker_2,1.0,-0.0,1.0
0,9397037728609216324,worker_1,1.0,-0.0,1.0
0,9397037728609216324,worker_0,1.0,-0.0,1.0
0,9397037728609216324,worker_13,1.0,-0.0,1.0
0,9397037728609216324,worker_14,1.0,-0.0,1.0
0,9397037728609216324,worker_20,1.0,-0.0,1.0
0,9397037728609216324,worker_16,1.0,-0.0,1.0
0,9397037728609216324,worker_17,1.0,-0.0,1.0
0,9397037728609216324,worker_18,1.0,-0.0,1.0
0,9397037728609216324,worker_19,1.0,-0.0,1.0
0,9397037728609216324,worker_10,1.0,-0.0,1.0
0,9397037728609216324,worker_21,1.0,-0.0,1.0
0,9397037728609216324,worker_25,1.0,-0.0,1.0
0,9397037728609216324,worker_26,1.0,-0.0,1.0
0,9397037728609216324,worker_27,1.0,-0.0,1.0
0,9397037728609216324,worker_22,1.0,-0.0,1.0
0,9397037728609216324,worker_23,1.0,-0.0,1.0
0,9397037728609216324,worker_24,1.0,-0.0,1.0
0,9397037728609216324,worker_28,1.0,-0.0,1.0
1,9397037728609216324,pp_3,1.0,-0.0,1.0
1,9397037728609216324,pp_2,1.0,-0.0,1.0
1,9397037728609216324,pp_1,1.0,-0.0,1.0
1,9397037728609216324,pp_0,1.0,-0.0,1.0
1,9397037728609216324,group_committer,1.0,-0.0,1.0
1,9397037728609216324,worker_39,1.0,-0.0,1.0
1,9397037728609216324,worker_38,1.0,-0.0,1.0
1,9397037728609216324,worker_37,1.0,-0.0,1.0
1,9397037728609216324,worker_36,1.0,-0.0,1.0
1,9397037728609216324,worker_35,1.0,-0.0,1.0
1,9397037728609216324,worker_34,1.0,-0.0,1.0
1,9397037728609216324,worker_33,1.0,-0.0,1.0
1,9397037728609216324,worker_32,1.0,-0.0,1.0
1,9397037728609216324,worker_31,1.0,-0.0,1.0
1,9397037728609216324,worker_30,1.0,-0.0,1.0
1,9397037728609216324,worker_29,1.0,-0.0,1.0
1,9397037728609216324,worker_12,1.0,-0.0,1.0
1,9397037728609216324,worker_11,1.0,-0.0,1.0
1,9397037728609216324,worker_15,1.0,-0.0,1.0
1,9397037728609216324,worker_9,1.0,-0.0,1.0
1,9397037728609216324,worker_8,1.0,-0.0,1.0
1,9397037728609216324,worker_7,1.0,-0.0,1.0
1,9397037728609216324,worker_6,1.0,-0.0,1.0
1,9397037728609216324,worker_5,1.0,-0.0,1.0
1,9397037728609216324,worker_4,1.0,-0.0,1.0
1,9397037728609216324,worker_3,1.0,-0.0,1.0
1,9397037728609216324,worker_2,1.0,-0.0,1.0
1,9397037728609216324,worker_1,1.0,-0.0,1.0
1,9397037728609216324,worker_0,1.0,-0.0,1.0
1,9397037728609216324,worker_13,1.0,-0.0,1.0
1,9397037728609216324,worker_14,1.0,-0.0,1.0
1,9397037728609216324,worker_20,1.0,-0.0,1.0
1,9397037728609216324,worker_16,1.0,-0.0,1.0
1,9397037728609216324,worker_17,1.0,-0.0,1.0
1,9397037728609216324,worker_18,1.0,-0.0,1.0
1,9397037728609216324,worker_19,1.0,-0.0,1.0
1,9397037728609216324,worker_10,1.0,-0.0,1.0
1,9397037728609216324,worker_21,1.0,-0.0,1.0
1,9397037728609216324,worker_25,1.0,-0.0,1.0
1,9397037728609216324,worker_26,1.0,-0.0,1.0
1,9397037728609216324,worker_27,1.0,-0.0,1.0
1,9397037728609216324,worker_22,1.0,-0.0,1.0
1,9397037728609216324,worker_23,1.0,-0.0,1.0
