Loading TPC-C
TPC-C loaded - consumed space in GiB = 19.6592
Warehouse pages = 8
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 0   | 64682      | 99.9814- | 6.085113 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 90.0000- | 12.8     | 12.8     | 19.8     | 1442     |
| 1   | 470459     | 97.6903- | 5.951838 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 90.0000- | 1.0      | 1.1      | 20.4     | 3        |
| 2   | 185359     | 97.4546- | 5.843179 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 90.0000- | 0.4      | 0.4      | 20.7     | 1        |
| 3   | 365274     | 97.4706- | 5.647355 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 90.0000- | 0.8      | 0.5      | 21.1     | 1        |
| 4   | 230849     | 97.5122- | 5.572031 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 90.0000- | 0.5      | 0.3      | 21.3     | 1        |
| 5   | 177172     | 97.4708- | 5.938691 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 90.0000- | 0.4      | 0.5      | 21.6     | 1        |
| 6   | 400345     | 97.4809- | 5.701997 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 90.0000- | 0.8      | 0.9      | 22.0     | 2        |
| 7   | 198575     | 97.4609- | 5.557405 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 90.0000- | 0.4      | 0.4      | 22.2     | 1        |
| 8   | 214681     | 97.5885- | 5.828450 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 90.0000- | 0.5      | 0.5      | 22.6     | 1        |
| 9   | 345462     | 97.5667- | 5.625142 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 90.0000- | 0.7      | 0.9      | 22.9     | 2        |
| 10  | 182792     | 97.4424- | 5.521644 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 90.0000- | 0.4      | 0.4      | 23.1     | 1        |
| 11  | 279567     | 97.4682- | 5.684877 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 90.0000- | 0.6      | 0.5      | 23.6     | 1        |
| 12  | 285760     | 97.4664- | 5.808829 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 90.0000- | 0.6      | 0.9      | 23.8     | 2        |
