Loading TPC-C
TPC-C loaded - consumed space in GiB = 19.6602
Warehouse pages = 8
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 0   | 53342      | 99.9756- | 5.962203 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 70.0000- | 12.8     | 12.6     | 19.8     | 894      |
| 1   | 362087     | 99.0535- | 5.471420 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 70.0000- | 0.8      | 0.7      | 20.3     | 2        |
| 2   | 195389     | 97.4353- | 5.423681 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 70.0000- | 0.4      | 0.7      | 20.6     | 2        |
| 3   | 277934     | 97.5055- | 5.204098 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 70.0000- | 0.6      | 0.3      | 20.8     | 1        |
| 4   | 183495     | 97.4893- | 5.151916 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 70.0000- | 0.4      | 0.7      | 21.1     | 2        |
| 5   | 304108     | 97.4680- | 5.289450 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 70.0000- | 0.6      | 0.4      | 21.5     | 1        |
| 6   | 240627     | 97.4716- | 5.385650 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 70.0000- | 0.5      | 0.7      | 21.7     | 2        |
| 7   | 252114     | 97.4578- | 5.322453 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 70.0000- | 0.5      | 0.3      | 22.0     | 1        |
| 8   | 210802     | 97.4763- | 5.033450 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 70.0000- | 0.4      | 0.7      | 22.2     | 2        |
| 9   | 251658     | 97.5085- | 5.373942 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 70.0000- | 0.5      | 0.4      | 22.6     | 1        |
| 10  | 285693     | 97.5141- | 5.231785 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 70.0000- | 0.6      | 0.7      | 22.8     | 2        |
| 11  | 203076     | 97.5240- | 5.090481 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 70.0000- | 0.4      | 0.3      | 23.2     | 1        |
| 12  | 249028     | 97.4990- | 5.189618 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 70.0000- | 0.5      | 0.7      | 23.4     | 2        |
| 13  | 207384     | 97.4800- | 5.592935 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 70.0000- | 0.4      | 0.4      | 23.7     | 1        |
