Loading TPC-C
TPC-C loaded - consumed space in GiB = 19.6775
Warehouse pages = 8
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 0   | 2545       | 96.3850- | 1.699498 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 20.0000- | 12.7     | 12.7     | 19.8     | 1114     |
| 1   | 267967     | 97.3321- | 1.570294 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 20.0000- | 0.6      | 0.6      | 20.1     | 82       |
| 2   | 230451     | 97.4697- | 1.584800 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 20.0000- | 0.5      | 0.5      | 20.4     | 5        |
| 3   | 221119     | 97.5718- | 1.597622 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 20.0000- | 0.5      | 0.5      | 20.7     | 5        |
| 4   | 221677     | 97.5649- | 1.626417 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 20.0000- | 0.5      | 0.5      | 20.9     | 5        |
| 5   | 224842     | 97.5075- | 1.608626 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 20.0000- | 0.5      | 0.4      | 21.2     | 4        |
| 6   | 225493     | 97.4584- | 1.658555 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 20.0000- | 0.5      | 0.5      | 21.4     | 5        |
| 7   | 220765     | 97.4139- | 1.654060 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 20.0000- | 0.5      | 0.5      | 21.7     | 5        |
| 8   | 220895     | 97.2778- | 1.561066 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 20.0000- | 0.5      | 0.5      | 22.0     | 5        |
| 9   | 219983     | 97.4825- | 1.596937 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 20.0000- | 0.5      | 0.5      | 22.2     | 5        |
| 10  | 220710     | 97.5048- | 1.600535 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 20.0000- | 0.5      | 0.5      | 22.5     | 5        |
| 11  | 218725     | 97.5142- | 1.594907 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 20.0000- | 0.5      | 0.5      | 22.7     | 5        |
| 12  | 218538     | 97.4233- | 1.596693 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 20.0000- | 0.5      | 0.5      | 23.0     | 5        |
| 13  | 218982     | 97.3262- | 1.566082 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 20.0000- | 0.5      | 0.4      | 23.2     | 4        |
| 14  | 223943     | 97.3100- | 1.580821 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 20.0000- | 0.5      | 0.5      | 23.5     | 5        |
