t,c_hash,key,GHz,CPU,IPC
0,14860617403089658233,pp_3,1.0,-0.0,1.0
0,14860617403089658233,pp_2,1.0,-0.0,1.0
0,14860617403089658233,pp_1,1.0,-0.0,1.0
0,14860617403089658233,pp_0,1.0,-0.0,1.0
0,14860617403089658233,group_committer,1.0,-0.0,1.0
0,14860617403089658233,worker_0,1.0,-0.0,1.0
1,14860617403089658233,pp_3,1.0,-0.0,1.0
1,14860617403089658233,pp_2,1.0,-0.0,1.0
1,14860617403089658233,pp_1,1.0,-0.0,1.0
1,14860617403089658233,pp_0,1.0,-0.0,1.0
1,14860617403089658233,group_committer,1.0,-0.0,1.0
1,14860617403089658233,worker_0,1.0,-0.0,1.0
2,14860617403089658233,pp_3,1.0,-0.0,1.0
2,14860617403089658233,pp_2,1.0,-0.0,1.0
2,14860617403089658233,pp_1,1.0,-0.0,1.0
2,14860617403089658233,pp_0,1.0,-0.0,1.0
2,14860617403089658233,group_committer,1.0,-0.0,1.0
2,14860617403089658233,worker_0,1.0,-0.0,1.0
3,14860617403089658233,pp_3,1.0,-0.0,1.0
3,14860617403089658233,pp_2,1.0,-0.0,1.0
3,14860617403089658233,pp_1,1.0,-0.0,1.0
3,14860617403089658233,pp_0,1.0,-0.0,1.0
3,14860617403089658233,group_committer,1.0,-0.0,1.0
3,14860617403089658233,worker_0,1.0,-0.0,1.0
4,14860617403089658233,pp_3,1.0,-0.0,1.0
4,14860617403089658233,pp_2,1.0,-0.0,1.0
4,14860617403089658233,pp_1,1.0,-0.0,1.0
4,14860617403089658233,pp_0,1.0,-0.0,1.0
4,14860617403089658233,group_committer,1.0,-0.0,1.0
4,14860617403089658233,worker_0,1.0,-0.0,1.0
5,14860617403089658233,pp_3,1.0,-0.0,1.0
5,14860617403089658233,pp_2,1.0,-0.0,1.0
5,14860617403089658233,pp_1,1.0,-0.0,1.0
5,14860617403089658233,pp_0,1.0,-0.0,1.0
5,14860617403089658233,group_committer,1.0,-0.0,1.0
5,14860617403089658233,worker_0,1.0,-0.0,1.0
6,14860617403089658233,pp_3,1.0,-0.0,1.0
6,14860617403089658233,pp_2,1.0,-0.0,1.0
6,14860617403089658233,pp_1,1.0,-0.0,1.0
6,14860617403089658233,pp_0,1.0,-0.0,1.0
6,14860617403089658233,group_committer,1.0,-0.0,1.0
6,14860617403089658233,worker_0,1.0,-0.0,1.0
7,14860617403089658233,pp_3,1.0,-0.0,1.0
7,14860617403089658233,pp_2,1.0,-0.0,1.0
7,14860617403089658233,pp_1,1.0,-0.0,1.0
7,14860617403089658233,pp_0,1.0,-0.0,1.0
7,14860617403089658233,group_committer,1.0,-0.0,1.0
7,14860617403089658233,worker_0,1.0,-0.0,1.0
8,14860617403089658233,pp_3,1.0,-0.0,1.0
8,14860617403089658233,pp_2,1.0,-0.0,1.0
8,14860617403089658233,pp_1,1.0,-0.0,1.0
8,14860617403089658233,pp_0,1.0,-0.0,1.0
8,14860617403089658233,group_committer,1.0,-0.0,1.0
8,14860617403089658233,worker_0,1.0,-0.0,1.0
9,14860617403089658233,pp_3,1.0,-0.0,1.0
9,14860617403089658233,pp_2,1.0,-0.0,1.0
9,14860617403089658233,pp_1,1.0,-0.0,1.0
9,14860617403089658233,pp_0,1.0,-0.0,1.0
9,14860617403089658233,group_committer,1.0,-0.0,1.0
9,14860617403089658233,worker_0,1.0,-0.0,1.0
10,14860617403089658233,pp_3,1.0,-0.0,1.0
10,14860617403089658233,pp_2,1.0,-0.0,1.0
10,14860617403089658233,pp_1,1.0,-0.0,1.0
10,14860617403089658233,pp_0,1.0,-0.0,1.0
10,14860617403089658233,group_committer,1.0,-0.0,1.0
10,14860617403089658233,worker_0,1.0,-0.0,1.0
11,14860617403089658233,pp_3,1.0,-0.0,1.0
11,14860617403089658233,pp_2,1.0,-0.0,1.0
11,14860617403089658233,pp_1,1.0,-0.0,1.0
11,14860617403089658233,pp_0,1.0,-0.0,1.0
11,14860617403089658233,group_committer,1.0,-0.0,1.0
11,14860617403089658233,worker_0,1.0,-0.0,1.0
12,14860617403089658233,pp_3,1.0,-0.0,1.0
12,14860617403089658233,pp_2,1.0,-0.0,1.0
12,14860617403089658233,pp_1,1.0,-0.0,1.0
12,14860617403089658233,pp_0,1.0,-0.0,1.0
12,14860617403089658233,group_committer,1.0,-0.0,1.0
12,14860617403089658233,worker_0,1.0,-0.0,1.0
13,14860617403089658233,pp_3,1.0,-0.0,1.0
13,14860617403089658233,pp_2,1.0,-0.0,1.0
13,14860617403089658233,pp_1,1.0,-0.0,1.0
13,14860617403089658233,pp_0,1.0,-0.0,1.0
13,14860617403089658233,group_committer,1.0,-0.0,1.0
13,14860617403089658233,worker_0,1.0,-0.0,1.0
14,14860617403089658233,pp_3,1.0,-0.0,1.0
14,14860617403089658233,pp_2,1.0,-0.0,1.0
14,14860617403089658233,pp_1,1.0,-0.0,1.0
14,14860617403089658233,pp_0,1.0,-0.0,1.0
14,14860617403089658233,group_committer,1.0,-0.0,1.0
14,14860617403089658233,worker_0,1.0,-0.0,1.0
15,14860617403089658233,pp_3,1.0,-0.0,1.0
15,14860617403089658233,pp_2,1.0,-0.0,1.0
15,14860617403089658233,pp_1,1.0,-0.0,1.0
15,14860617403089658233,pp_0,1.0,-0.0,1.0
15,14860617403089658233,group_committer,1.0,-0.0,1.0
15,14860617403089658233,worker_0,1.0,-0.0,1.0
16,14860617403089658233,pp_3,1.0,-0.0,1.0
16,14860617403089658233,pp_2,1.0,-0.0,1.0
16,14860617403089658233,pp_1,1.0,-0.0,1.0
16,14860617403089658233,pp_0,1.0,-0.0,1.0
16,14860617403089658233,group_committer,1.0,-0.0,1.0
16,14860617403089658233,worker_0,1.0,-0.0,1.0
17,14860617403089658233,pp_3,1.0,-0.0,1.0
17,14860617403089658233,pp_2,1.0,-0.0,1.0
17,14860617403089658233,pp_1,1.0,-0.0,1.0
17,14860617403089658233,pp_0,1.0,-0.0,1.0
17,14860617403089658233,group_committer,1.0,-0.0,1.0
17,14860617403089658233,worker_0,1.0,-0.0,1.0
18,14860617403089658233,pp_3,1.0,-0.0,1.0
18,14860617403089658233,pp_2,1.0,-0.0,1.0
18,14860617403089658233,pp_1,1.0,-0.0,1.0
18,14860617403089658233,pp_0,1.0,-0.0,1.0
18,14860617403089658233,group_committer,1.0,-0.0,1.0
18,14860617403089658233,worker_0,1.0,-0.0,1.0
19,14860617403089658233,pp_3,1.0,-0.0,1.0
19,14860617403089658233,pp_2,1.0,-0.0,1.0
19,14860617403089658233,pp_1,1.0,-0.0,1.0
19,14860617403089658233,pp_0,1.0,-0.0,1.0
19,14860617403089658233,group_committer,1.0,-0.0,1.0
19,14860617403089658233,worker_0,1.0,-0.0,1.0
20,14860617403089658233,pp_3,1.0,-0.0,1.0
20,14860617403089658233,pp_2,1.0,-0.0,1.0
20,14860617403089658233,pp_1,1.0,-0.0,1.0
20,14860617403089658233,pp_0,1.0,-0.0,1.0
20,14860617403089658233,group_committer,1.0,-0.0,1.0
20,14860617403089658233,worker_0,1.0,-0.0,1.0
21,14860617403089658233,pp_3,1.0,-0.0,1.0
21,14860617403089658233,pp_2,1.0,-0.0,1.0
21,14860617403089658233,pp_1,1.0,-0.0,1.0
21,14860617403089658233,pp_0,1.0,-0.0,1.0
21,14860617403089658233,group_committer,1.0,-0.0,1.0
21,14860617403089658233,worker_0,1.0,-0.0,1.0
22,14860617403089658233,pp_3,1.0,-0.0,1.0
22,14860617403089658233,pp_2,1.0,-0.0,1.0
22,14860617403089658233,pp_1,1.0,-0.0,1.0
22,14860617403089658233,pp_0,1.0,-0.0,1.0
22,14860617403089658233,group_committer,1.0,-0.0,1.0
22,14860617403089658233,worker_0,1.0,-0.0,1.0
23,14860617403089658233,pp_3,1.0,-0.0,1.0
23,14860617403089658233,pp_2,1.0,-0.0,1.0
23,14860617403089658233,pp_1,1.0,-0.0,1.0
23,14860617403089658233,pp_0,1.0,-0.0,1.0
23,14860617403089658233,group_committer,1.0,-0.0,1.0
23,14860617403089658233,worker_0,1.0,-0.0,1.0
24,14860617403089658233,pp_3,1.0,-0.0,1.0
24,14860617403089658233,pp_2,1.0,-0.0,1.0
24,14860617403089658233,pp_1,1.0,-0.0,1.0
24,14860617403089658233,pp_0,1.0,-0.0,1.0
24,14860617403089658233,group_committer,1.0,-0.0,1.0
24,14860617403089658233,worker_0,1.0,-0.0,1.0
25,14860617403089658233,pp_3,1.0,-0.0,1.0
25,14860617403089658233,pp_2,1.0,-0.0,1.0
25,14860617403089658233,pp_1,1.0,-0.0,1.0
25,14860617403089658233,pp_0,1.0,-0.0,1.0
25,14860617403089658233,group_committer,1.0,-0.0,1.0
25,14860617403089658233,worker_0,1.0,-0.0,1.0
26,14860617403089658233,pp_3,1.0,-0.0,1.0
26,14860617403089658233,pp_2,1.0,-0.0,1.0
26,14860617403089658233,pp_1,1.0,-0.0,1.0
26,14860617403089658233,pp_0,1.0,-0.0,1.0
26,14860617403089658233,group_committer,1.0,-0.0,1.0
26,14860617403089658233,worker_0,1.0,-0.0,1.0
27,14860617403089658233,pp_3,1.0,-0.0,1.0
27,14860617403089658233,pp_2,1.0,-0.0,1.0
27,14860617403089658233,pp_1,1.0,-0.0,1.0
27,14860617403089658233,pp_0,1.0,-0.0,1.0
27,14860617403089658233,group_committer,1.0,-0.0,1.0
27,14860617403089658233,worker_0,1.0,-0.0,1.0
28,14860617403089658233,pp_3,1.0,-0.0,1.0
28,14860617403089658233,pp_2,1.0,-0.0,1.0
28,14860617403089658233,pp_1,1.0,-0.0,1.0
28,14860617403089658233,pp_0,1.0,-0.0,1.0
28,14860617403089658233,group_committer,1.0,-0.0,1.0
28,14860617403089658233,worker_0,1.0,-0.0,1.0
29,14860617403089658233,pp_3,1.0,-0.0,1.0
29,14860617403089658233,pp_2,1.0,-0.0,1.0
29,14860617403089658233,pp_1,1.0,-0.0,1.0
29,14860617403089658233,pp_0,1.0,-0.0,1.0
29,14860617403089658233,group_committer,1.0,-0.0,1.0
29,14860617403089658233,worker_0,1.0,-0.0,1.0
30,14860617403089658233,pp_3,1.0,-0.0,1.0
30,14860617403089658233,pp_2,1.0,-0.0,1.0
30,14860617403089658233,pp_1,1.0,-0.0,1.0
30,14860617403089658233,pp_0,1.0,-0.0,1.0
30,14860617403089658233,group_committer,1.0,-0.0,1.0
30,14860617403089658233,worker_0,1.0,-0.0,1.0
31,14860617403089658233,pp_3,1.0,-0.0,1.0
31,14860617403089658233,pp_2,1.0,-0.0,1.0
31,14860617403089658233,pp_1,1.0,-0.0,1.0
31,14860617403089658233,pp_0,1.0,-0.0,1.0
31,14860617403089658233,group_committer,1.0,-0.0,1.0
31,14860617403089658233,worker_0,1.0,-0.0,1.0
32,14860617403089658233,pp_3,1.0,-0.0,1.0
32,14860617403089658233,pp_2,1.0,-0.0,1.0
32,14860617403089658233,pp_1,1.0,-0.0,1.0
32,14860617403089658233,pp_0,1.0,-0.0,1.0
32,14860617403089658233,group_committer,1.0,-0.0,1.0
32,14860617403089658233,worker_0,1.0,-0.0,1.0
33,14860617403089658233,pp_3,1.0,-0.0,1.0
33,14860617403089658233,pp_2,1.0,-0.0,1.0
33,14860617403089658233,pp_1,1.0,-0.0,1.0
33,14860617403089658233,pp_0,1.0,-0.0,1.0
33,14860617403089658233,group_committer,1.0,-0.0,1.0
33,14860617403089658233,worker_0,1.0,-0.0,1.0
34,14860617403089658233,pp_3,1.0,-0.0,1.0
34,14860617403089658233,pp_2,1.0,-0.0,1.0
34,14860617403089658233,pp_1,1.0,-0.0,1.0
34,14860617403089658233,pp_0,1.0,-0.0,1.0
34,14860617403089658233,group_committer,1.0,-0.0,1.0
34,14860617403089658233,worker_0,1.0,-0.0,1.0
35,14860617403089658233,pp_3,1.0,-0.0,1.0
35,14860617403089658233,pp_2,1.0,-0.0,1.0
35,14860617403089658233,pp_1,1.0,-0.0,1.0
35,14860617403089658233,pp_0,1.0,-0.0,1.0
35,14860617403089658233,group_committer,1.0,-0.0,1.0
35,14860617403089658233,worker_0,1.0,-0.0,1.0
36,14860617403089658233,pp_3,1.0,-0.0,1.0
36,14860617403089658233,pp_2,1.0,-0.0,1.0
36,14860617403089658233,pp_1,1.0,-0.0,1.0
36,14860617403089658233,pp_0,1.0,-0.0,1.0
36,14860617403089658233,group_committer,1.0,-0.0,1.0
36,14860617403089658233,worker_0,1.0,-0.0,1.0
37,14860617403089658233,pp_3,1.0,-0.0,1.0
37,14860617403089658233,pp_2,1.0,-0.0,1.0
37,14860617403089658233,pp_1,1.0,-0.0,1.0
37,14860617403089658233,pp_0,1.0,-0.0,1.0
37,14860617403089658233,group_committer,1.0,-0.0,1.0
37,14860617403089658233,worker_0,1.0,-0.0,1.0
38,14860617403089658233,pp_3,1.0,-0.0,1.0
38,14860617403089658233,pp_2,1.0,-0.0,1.0
38,14860617403089658233,pp_1,1.0,-0.0,1.0
38,14860617403089658233,pp_0,1.0,-0.0,1.0
38,14860617403089658233,group_committer,1.0,-0.0,1.0
38,14860617403089658233,worker_0,1.0,-0.0,1.0
39,14860617403089658233,pp_3,1.0,-0.0,1.0
39,14860617403089658233,pp_2,1.0,-0.0,1.0
39,14860617403089658233,pp_1,1.0,-0.0,1.0
39,14860617403089658233,pp_0,1.0,-0.0,1.0
39,14860617403089658233,group_committer,1.0,-0.0,1.0
39,14860617403089658233,worker_0,1.0,-0.0,1.0
40,14860617403089658233,pp_3,1.0,-0.0,1.0
40,14860617403089658233,pp_2,1.0,-0.0,1.0
40,14860617403089658233,pp_1,1.0,-0.0,1.0
40,14860617403089658233,pp_0,1.0,-0.0,1.0
40,14860617403089658233,group_committer,1.0,-0.0,1.0
40,14860617403089658233,worker_0,1.0,-0.0,1.0
41,14860617403089658233,pp_3,1.0,-0.0,1.0
41,14860617403089658233,pp_2,1.0,-0.0,1.0
41,14860617403089658233,pp_1,1.0,-0.0,1.0
41,14860617403089658233,pp_0,1.0,-0.0,1.0
41,14860617403089658233,group_committer,1.0,-0.0,1.0
41,14860617403089658233,worker_0,1.0,-0.0,1.0
42,14860617403089658233,pp_3,1.0,-0.0,1.0
42,14860617403089658233,pp_2,1.0,-0.0,1.0
42,14860617403089658233,pp_1,1.0,-0.0,1.0
42,14860617403089658233,pp_0,1.0,-0.0,1.0
42,14860617403089658233,group_committer,1.0,-0.0,1.0
42,14860617403089658233,worker_0,1.0,-0.0,1.0
43,14860617403089658233,pp_3,1.0,-0.0,1.0
43,14860617403089658233,pp_2,1.0,-0.0,1.0
43,14860617403089658233,pp_1,1.0,-0.0,1.0
43,14860617403089658233,pp_0,1.0,-0.0,1.0
43,14860617403089658233,group_committer,1.0,-0.0,1.0
43,14860617403089658233,worker_0,1.0,-0.0,1.0
44,14860617403089658233,pp_3,1.0,-0.0,1.0
44,14860617403089658233,pp_2,1.0,-0.0,1.0
44,14860617403089658233,pp_1,1.0,-0.0,1.0
44,14860617403089658233,pp_0,1.0,-0.0,1.0
44,14860617403089658233,group_committer,1.0,-0.0,1.0
44,14860617403089658233,worker_0,1.0,-0.0,1.0
45,14860617403089658233,pp_3,1.0,-0.0,1.0
45,14860617403089658233,pp_2,1.0,-0.0,1.0
45,14860617403089658233,pp_1,1.0,-0.0,1.0
45,14860617403089658233,pp_0,1.0,-0.0,1.0
45,14860617403089658233,group_committer,1.0,-0.0,1.0
45,14860617403089658233,worker_0,1.0,-0.0,1.0
46,14860617403089658233,pp_3,1.0,-0.0,1.0
46,14860617403089658233,pp_2,1.0,-0.0,1.0
46,14860617403089658233,pp_1,1.0,-0.0,1.0
46,14860617403089658233,pp_0,1.0,-0.0,1.0
46,14860617403089658233,group_committer,1.0,-0.0,1.0
46,14860617403089658233,worker_0,1.0,-0.0,1.0
47,14860617403089658233,pp_3,1.0,-0.0,1.0
47,14860617403089658233,pp_2,1.0,-0.0,1.0
47,14860617403089658233,pp_1,1.0,-0.0,1.0
47,14860617403089658233,pp_0,1.0,-0.0,1.0
47,14860617403089658233,group_committer,1.0,-0.0,1.0
47,14860617403089658233,worker_0,1.0,-0.0,1.0
48,14860617403089658233,pp_3,1.0,-0.0,1.0
48,14860617403089658233,pp_2,1.0,-0.0,1.0
48,14860617403089658233,pp_1,1.0,-0.0,1.0
48,14860617403089658233,pp_0,1.0,-0.0,1.0
48,14860617403089658233,group_committer,1.0,-0.0,1.0
48,14860617403089658233,worker_0,1.0,-0.0,1.0
49,14860617403089658233,pp_3,1.0,-0.0,1.0
49,14860617403089658233,pp_2,1.0,-0.0,1.0
49,14860617403089658233,pp_1,1.0,-0.0,1.0
49,14860617403089658233,pp_0,1.0,-0.0,1.0
49,14860617403089658233,group_committer,1.0,-0.0,1.0
49,14860617403089658233,worker_0,1.0,-0.0,1.0
50,14860617403089658233,pp_3,1.0,-0.0,1.0
50,14860617403089658233,pp_2,1.0,-0.0,1.0
50,14860617403089658233,pp_1,1.0,-0.0,1.0
50,14860617403089658233,pp_0,1.0,-0.0,1.0
50,14860617403089658233,group_committer,1.0,-0.0,1.0
50,14860617403089658233,worker_0,1.0,-0.0,1.0
51,14860617403089658233,pp_3,1.0,-0.0,1.0
51,14860617403089658233,pp_2,1.0,-0.0,1.0
51,14860617403089658233,pp_1,1.0,-0.0,1.0
51,14860617403089658233,pp_0,1.0,-0.0,1.0
51,14860617403089658233,group_committer,1.0,-0.0,1.0
51,14860617403089658233,worker_0,1.0,-0.0,1.0
52,14860617403089658233,pp_3,1.0,-0.0,1.0
52,14860617403089658233,pp_2,1.0,-0.0,1.0
52,14860617403089658233,pp_1,1.0,-0.0,1.0
52,14860617403089658233,pp_0,1.0,-0.0,1.0
52,14860617403089658233,group_committer,1.0,-0.0,1.0
52,14860617403089658233,worker_0,1.0,-0.0,1.0
53,14860617403089658233,pp_3,1.0,-0.0,1.0
53,14860617403089658233,pp_2,1.0,-0.0,1.0
53,14860617403089658233,pp_1,1.0,-0.0,1.0
53,14860617403089658233,pp_0,1.0,-0.0,1.0
53,14860617403089658233,group_committer,1.0,-0.0,1.0
53,14860617403089658233,worker_0,1.0,-0.0,1.0
54,14860617403089658233,pp_3,1.0,-0.0,1.0
54,14860617403089658233,pp_2,1.0,-0.0,1.0
