t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
0,2521278750136246629,0,0,0,0,0,0,0,0,0,0,0,4191,0.0,0,0,0.0,100.0,0,0,0,0,1,0,12,0,0,0.0,0,0,12.8,0,-nan,12.8,0,64682,660074,-nan,0,1442,0.0,0,0
1,2521278750136246629,0,0,0,0,0,0,0,0,0,0,0,29773,0.0,0,0,0.4,99.6,0,0,0,0,270102,0,10866,0,0,0.0,0,0,1.1,0,-nan,1.0,0,470459,5156743,-nan,0,3,0.0,0,0
2,2521278750136246629,0,0,0,0,0,0,0,0,0,0,0,11503,0.0,0,0,0.2,99.8,0,0,0,0,210772,0,4718,0,0,0.0,0,0,0.4,0,-nan,0.4,0,185359,1995920,-nan,0,1,0.0,0,0
3,2521278750136246629,0,0,0,0,0,0,0,0,0,0,0,21863,0.0,0,0,0.3,99.6,0,0,0,0,126727,0,9239,0,0,0.0,0,0,0.5,0,-nan,0.8,0,365274,3486328,-nan,0,1,0.0,0,0
4,2521278750136246629,0,0,0,0,0,0,0,0,0,0,0,13622,0.0,0,0,0.3,99.7,0,0,0,0,253668,0,5743,0,0,0.0,0,0,0.3,0,-nan,0.5,0,230849,2503164,-nan,0,1,0.0,0,0
5,2521278750136246629,0,0,0,0,0,0,0,0,0,0,0,11186,0.0,0,0,0.4,99.6,0,0,0,0,190675,0,4481,0,0,0.0,0,0,0.5,0,-nan,0.4,0,177172,1929705,-nan,0,1,0.0,0,0
6,2521278750136246629,0,0,0,0,0,0,0,0,0,0,0,24208,0.0,0,0,0.3,99.7,0,0,0,0,395147,0,10085,0,0,0.0,0,0,0.9,0,-nan,0.8,0,400345,4257453,-nan,0,2,0.0,0,0
7,2521278750136246629,0,0,0,0,0,0,0,0,0,0,0,11685,0.0,0,0,0.2,99.8,0,0,0,0,245600,0,5042,0,0,0.0,0,0,0.4,0,-nan,0.4,0,198575,2516728,-nan,0,1,0.0,0,0
8,2521278750136246629,0,0,0,0,0,0,0,0,0,0,0,13287,0.0,0,0,0.4,99.6,0,0,0,0,173634,0,5177,0,0,0.0,0,0,0.5,0,-nan,0.5,0,214681,2044372,-nan,0,1,0.0,0,0
9,2521278750136246629,0,0,0,0,0,0,0,0,0,0,0,20591,0.0,0,0,0.3,99.7,0,0,0,0,407570,0,8406,0,0,0.0,0,0,0.9,0,-nan,0.7,0,345462,4251551,-nan,0,2,0.0,0,0
10,2521278750136246629,0,0,0,0,0,0,0,0,0,0,0,10683,0.0,0,0,0.2,99.8,0,0,0,0,235492,0,4675,0,0,0.0,0,0,0.4,0,-nan,0.4,0,182792,2005988,-nan,0,1,0.0,0,0
11,2521278750136246629,0,0,0,0,0,0,0,0,0,0,0,16851,0.0,0,0,0.4,99.6,0,0,0,0,155839,0,7078,0,0,0.0,0,0,0.5,0,-nan,0.6,0,279567,2469659,-nan,0,1,0.0,0,0
12,2521278750136246629,0,0,0,0,0,0,0,0,0,0,0,17623,0.0,0,0,0.3,99.7,0,0,0,0,385277,0,7240,0,0,0.0,0,0,0.9,0,-nan,0.6,0,285760,3813523,-nan,0,2,0.0,0,0
13,2521278750136246629,0,0,0,0,0,0,0,0,0,0,0,11675,0.0,0,0,0.2,99.8,0,0,0,0,251799,0,5034,0,0,0.0,0,0,0.4,0,-nan,0.4,0,195234,2147372,-nan,0,1,0.0,0,0
14,2521278750136246629,0,0,0,0,0,0,0,0,0,0,0,20737,0.0,0,0,0.4,99.6,0,0,0,0,169218,0,8321,0,0,0.0,0,0,0.5,0,-nan,0.7,0,324665,3028899,-nan,0,1,0.0,0,0
15,2521278750136246629,0,0,0,0,0,0,0,0,0,0,0,15964,0.0,0,0,0.3,99.7,0,0,0,0,392275,0,6472,0,0,0.0,0,0,0.9,0,-nan,0.5,0,256054,3414724,-nan,0,2,0.0,0,0
