Loading TPC-C
TPC-C loaded - consumed space in GiB = 19.6558
Warehouse pages = 8
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 0   | 78982      | 99.8569- | 6.227219 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 100.000- | 12.8     | 12.7     | 19.8     | 1863     |
| 1   | 363965     | 99.3991- | 6.260061 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 100.000- | 0.8      | 0.5      | 20.4     | 1        |
| 2   | 242315     | 97.4479- | 6.094016 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 100.000- | 0.5      | 0.4      | 20.7     | 1        |
| 3   | 237855     | 97.4085- | 6.540642 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 100.000- | 0.5      | 1.0      | 21.0     | 2        |
| 4   | 357492     | 97.4754- | 6.137559 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 100.000- | 0.8      | 0.5      | 21.2     | 1        |
| 5   | 234348     | 97.4478- | 6.176359 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 100.000- | 0.5      | 0.4      | 21.5     | 1        |
| 6   | 280096     | 97.4158- | 6.086525 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 100.000- | 0.6      | 0.5      | 22.0     | 1        |
| 7   | 254193     | 97.4369- | 6.253043 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 100.000- | 0.5      | 0.4      | 22.3     | 1        |
| 8   | 207889     | 97.5510- | 6.468376 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 100.000- | 0.4      | 0.5      | 22.6     | 1        |
