t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
0,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,5245,0.0,0,0,0.0,100.0,0,0,0,0,1,0,113,0,0,0.0,0,0,12.7,0,-nan,12.8,0,78982,801318,-nan,0,1863,0.0,0,0
1,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,24306,0.0,0,0,0.0,100.0,0,0,0,0,0,0,2187,0,0,0.0,0,0,0.5,0,-nan,0.8,0,363965,3007756,-nan,0,1,0.0,0,0
2,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,15725,0.0,0,0,0.2,99.8,0,0,0,0,121320,0,6184,0,0,0.0,0,0,0.4,0,-nan,0.5,0,242315,2389911,-nan,0,1,0.0,0,0
3,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,16646,0.0,0,0,0.3,99.7,0,0,0,0,450772,0,6164,0,0,0.0,0,0,1.0,0,-nan,0.5,0,237855,3732655,-nan,0,2,0.0,0,0
4,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,23376,0.0,0,0,0.4,99.6,0,0,0,0,238628,0,9025,0,0,0.0,0,0,0.5,0,-nan,0.8,0,357492,3665176,-nan,0,1,0.0,0,0
5,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,15427,0.0,0,0,0.3,99.7,0,0,0,0,222101,0,5981,0,0,0.0,0,0,0.4,0,-nan,0.5,0,234348,2469458,-nan,0,1,0.0,0,0
6,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,18153,0.0,0,0,0.4,99.6,0,0,0,0,247619,0,7238,0,0,0.0,0,0,0.5,0,-nan,0.6,0,280096,2431041,-nan,0,1,0.0,0,0
7,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,16955,0.0,0,0,0.3,99.7,0,0,0,0,235278,0,6515,0,0,0.0,0,0,0.4,0,-nan,0.5,0,254193,2521875,-nan,0,1,0.0,0,0
8,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,14377,0.0,0,0,0.3,99.7,0,0,0,0,193421,0,5091,0,0,0.0,0,0,0.5,0,-nan,0.4,0,207889,2358435,-nan,0,1,0.0,0,0
9,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,20667,0.0,0,0,0.3,99.7,0,0,0,0,476484,0,8175,0,0,0.0,0,0,1.0,0,-nan,0.7,0,331110,4576071,-nan,0,2,0.0,0,0
10,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,15837,0.0,0,0,0.3,99.7,0,0,0,0,195333,0,6169,0,0,0.0,0,0,0.4,0,-nan,0.5,0,246021,2711161,-nan,0,1,0.0,0,0
11,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,19483,0.0,0,0,0.4,99.6,0,0,0,0,239921,0,7779,0,0,0.0,0,0,0.5,0,-nan,0.6,0,300115,2836386,-nan,0,1,0.0,0,0
12,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,16813,0.0,0,0,0.3,99.7,0,0,0,0,242819,0,6475,0,0,0.0,0,0,0.4,0,-nan,0.5,0,251988,2200473,-nan,0,1,0.0,0,0
13,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,14999,0.0,0,0,0.3,99.7,0,0,0,0,235911,0,5582,0,0,0.0,0,0,0.5,0,-nan,0.5,0,219159,2426140,-nan,0,1,0.0,0,0
14,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,19341,0.0,0,0,0.3,99.7,0,0,0,0,405163,0,7875,0,0,0.0,0,0,1.0,0,-nan,0.7,0,306277,4456098,-nan,0,2,0.0,0,0
15,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,14691,0.0,0,0,0.3,99.7,0,0,0,0,201474,0,5928,0,0,0.0,0,0,0.4,0,-nan,0.5,0,232164,2518293,-nan,0,1,0.0,0,0
16,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,20954,0.0,0,0,0.4,99.6,0,0,0,0,289979,0,8488,0,0,0.0,0,0,0.5,0,-nan,0.7,0,336189,2743709,-nan,0,1,0.0,0,0
17,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,15450,0.0,0,0,0.3,99.7,0,0,0,0,209572,0,6088,0,0,0.0,0,0,0.4,0,-nan,0.5,0,244240,2363974,-nan,0,1,0.0,0,0
18,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,15153,0.0,0,0,0.3,99.7,0,0,0,0,227526,0,5948,0,0,0.0,0,0,0.5,0,-nan,0.5,0,229089,2775440,-nan,0,1,0.0,0,0
19,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,19217,0.0,0,0,0.3,99.7,0,0,0,0,449237,0,7248,0,0,0.0,0,0,1.0,0,-nan,0.6,0,294926,4254888,-nan,0,2,0.0,0,0
20,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,15291,0.0,0,0,0.3,99.7,0,0,0,0,222682,0,5792,0,0,0.0,0,0,0.4,0,-nan,0.5,0,239861,2562570,-nan,0,1,0.0,0,0
21,1794317337311065580,0,0,0,0,0,0,0,0,0,0,0,21603,0.0,0,0,0.3,99.7,0,0,0,0,214721,0,7935,0,0,0.0,0,0,0.5,0,-nan,0.7,0,332916,2998470,-nan,0,1,0.0,0,0
