Loading TPC-C
TPC-C loaded - consumed space in GiB = 19.7124
Warehouse pages = 8
+-----+------------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| t   | OLTP TX    | RF %     | Abort%   | OLAP TX  | W MiB    | R MiB    | Instrs/- | Cycles/- | CPUs     | L1/TX    | LLC/TX   | GHz      | WAL      | GCT      | Space G  | GCT      |
|     |            |          |          |          |          |          | TX       | TX       |          |          |          |          | GiB/s    | GiB/s    |          | Rounds   |
| 0   | 571        | 95.2714- | 0.349040 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 12.7     | 12.7     | 19.9     | 2994     |
| 1   | 134797     | 90.0361- | 0.723234 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 20.0     | 768      |
| 2   | 134166     | 89.4913- | 0.721469 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 20.2     | 768      |
| 3   | 134456     | 88.9941- | 0.725788 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 20.3     | 768      |
| 4   | 133867     | 88.6827- | 0.714233 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 20.5     | 766      |
| 5   | 134342     | 88.0126- | 0.760866 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 20.6     | 792      |
| 6   | 134657     | 86.5599- | 0.766413 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 20.8     | 910      |
| 7   | 134189     | 86.2268- | 0.727956 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 21.0     | 908      |
| 8   | 133346     | 86.4682- | 0.719960 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 21.1     | 865      |
| 9   | 133558     | 87.3088- | 0.755712 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 21.3     | 771      |
| 10  | 134756     | 87.1412- | 0.755623 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 21.4     | 786      |
| 11  | 134094     | 87.2887- | 0.744634 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 21.6     | 759      |
| 12  | 133893     | 85.8013- | 0.731026 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 21.7     | 852      |
| 13  | 133308     | 84.8178- | 0.751947 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 21.9     | 907      |
| 14  | 133436     | 86.0180- | 0.717262 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 22.0     | 803      |
| 15  | 133962     | 86.5230- | 0.793139 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 22.2     | 770      |
| 16  | 133950     | 85.1116- | 0.735131 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 22.4     | 858      |
| 17  | 133159     | 85.0577- | 0.740945 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 22.5     | 838      |
| 18  | 133184     | 84.5792- | 0.746725 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 22.7     | 869      |
| 19  | 132744     | 85.5390- | 0.766246 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 22.8     | 785      |
| 20  | 133584     | 85.7692- | 0.743768 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 23.0     | 762      |
| 21  | 132849     | 85.6160- | 0.748594 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 23.1     | 763      |
| 22  | 132931     | 85.5910- | 0.737759 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 23.3     | 761      |
| 23  | 132032     | 85.2762- | 0.730805 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 23.4     | 764      |
| 24  | 131731     | 85.1303- | 0.754899 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 23.6     | 756      |
| 25  | 132552     | 85.0232- | 0.765119 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 23.7     | 763      |
| 26  | 131893     | 84.5427- | 0.731570 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 23.9     | 786      |
| 27  | 133050     | 85.1176- | 0.739326 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 24.1     | 760      |
| 28  | 131839     | 83.1453- | 0.767731 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 24.2     | 880      |
| 29  | 132390     | 82.6059- | 0.720655 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 24.4     | 904      |
| 30  | 132472     | 84.1860- | 0.783415 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 24.5     | 793      |
| 31  | 132649     | 84.4755- | 0.757882 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 24.7     | 764      |
| 32  | 133486     | 84.4223- | 0.767184 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 24.8     | 762      |
| 33  | 134159     | 84.6435- | 0.769970 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 25.0     | 760      |
| 34  | 134470     | 84.3333- | 0.792363 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 25.1     | 777      |
| 35  | 133807     | 82.0412- | 0.783753 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 25.3     | 908      |
| 36  | 134772     | 84.3817- | 0.747494 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 25.5     | 764      |
| 37  | 133954     | 84.2221- | 0.743935 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 25.6     | 760      |
| 38  | 134047     | 82.2584- | 0.761059 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 25.8     | 890      |
| 39  | 133366     | 81.7134- | 0.781157 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 25.9     | 907      |
| 40  | 136131     | 82.1458- | 0.758901 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 26.1     | 907      |
| 41  | 133969     | 81.7748- | 0.716636 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 26.2     | 906      |
| 42  | 133483     | 81.6793- | 0.720703 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 26.4     | 907      |
| 43  | 134640     | 83.3845- | 0.741636 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 26.6     | 795      |
| 44  | 134809     | 82.9477- | 0.709277 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 26.7     | 816      |
| 45  | 135324     | 83.5764- | 0.737187 | 0        | 0.0      | 0.0      | 0.000000 | 0.000000 | -        | 0.000000 | 0.000000 | 10.0000- | 0.3      | 0.3      | 26.9     | 787      |
