t,c_hash,cc_ms_commit_tx,cc_ms_start_tx,cc_ms_refresh_global_state,cc_ms_history_tree_insert,cc_ms_fat_tuple_conversion,cc_ms_fat_tuple,cc_ms_gc_history_tree,cc_ms_gc_graveyard,cc_ms_abort_tx,olap_tx_abort,wal_reserve_blocked,tx_abort,gct_phase_1_pct,cc_ms_history_tree_retrieve,olap_scanned_tuples,gct_phase_2_pct,gct_write_pct,wal_miss,cc_ms_gc_cm,wal_reserve_immediate,cc_cross_workers_visibility_check,gct_committed_tx,key,rfa_committed_tx,wal_hit,olap_tx,wal_read_gib,cc_prepare_igc,cc_snapshot_restart,gct_write_gib,cc_ms_snapshotting,wal_miss_pct,wal_write_gib,cc_ms_committing,tx,cc_versions_space_removed,wal_hit_pct,cc_ms_gc,gct_rounds,wal_total,cc_ms_olap_tx,cc_ms_oltp_tx
0,14860617403089658233,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,100.0,0,0,0,0,108,0,113,0,0,0.0,0,0,13.1,0,-nan,12.7,0,12,257,-nan,0,798810,0.0,0,0
1,14860617403089658233,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,100.0,0,0,0,0,14524,0,14522,0,0,0.0,0,0,0.0,0,-nan,0.0,0,14522,160384,-nan,0,66955,0.0,0,0
2,14860617403089658233,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,100.0,0,0,0,0,14530,0,14530,0,0,0.0,0,0,0.0,0,-nan,0.0,0,14530,158828,-nan,0,74493,0.0,0,0
3,14860617403089658233,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,100.0,0,0,0,0,14391,0,14391,0,0,0.0,0,0,0.0,0,-nan,0.0,0,14391,160948,-nan,0,101113,0.0,0,0
4,14860617403089658233,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,100.0,0,0,0,0,14609,0,14607,0,0,0.0,0,0,0.0,0,-nan,0.0,0,14607,157323,-nan,0,98593,0.0,0,0
5,14860617403089658233,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,100.0,0,0,0,0,14583,0,14585,0,0,0.0,0,0,0.0,0,-nan,0.0,0,14585,158476,-nan,0,80186,0.0,0,0
6,14860617403089658233,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,100.0,0,0,0,0,14537,0,14537,0,0,0.0,0,0,0.0,0,-nan,0.0,0,14537,160558,-nan,0,94184,0.0,0,0
7,14860617403089658233,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,100.0,0,0,0,0,14421,0,14425,0,0,0.0,0,0,0.0,0,-nan,0.0,0,14425,158680,-nan,0,87131,0.0,0,0
8,14860617403089658233,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,100.0,0,0,0,0,14399,0,14395,0,0,0.0,0,0,0.0,0,-nan,0.0,0,14395,157024,-nan,0,75426,0.0,0,0
9,14860617403089658233,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,100.0,0,0,0,0,14425,0,14425,0,0,0.0,0,0,0.0,0,-nan,0.0,0,14425,158505,-nan,0,67235,0.0,0,0
10,14860617403089658233,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,100.0,0,0,0,0,14509,0,14506,0,0,0.0,0,0,0.0,0,-nan,0.0,0,14506,158934,-nan,0,85540,0.0,0,0
11,14860617403089658233,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,100.0,0,0,0,0,14362,0,14371,0,0,0.0,0,0,0.0,0,-nan,0.0,0,14371,159315,-nan,0,70752,0.0,0,0
12,14860617403089658233,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,100.0,0,0,0,0,14568,0,14567,0,0,0.0,0,0,0.0,0,-nan,0.0,0,14567,156378,-nan,0,82629,0.0,0,0
